"Gene","Uniprot","Pearson_correlation"
"RNF220","Q5VTB9",0.537942731871206
"ALS2CL","Q60I27",0.618542244664912
"H2AC19","Q6FI13",0.5149745546715
"NPNT","Q6UXI9",0.544164879707912
"CERS6","Q6ZMG9",0.502891184569134
"MEPCE","Q7L2J0",0.51176366389261
"RRAGA","Q7L523",0.557170397705535
"ARMH4","Q86TY3",0.635396047365713
"SERINC5","Q86VE9",0.529453224009144
"MIB1","Q86YT6",0.567595015972194
"SLC44A2","Q8IWA5",0.602466168825503
"CMIP","Q8IY22",0.56226141422374
"PGAM4","Q8N0Y7",0.590428649802917
"MPP5","Q8N3R9",0.708804862829008
"SYNPO","Q8N3V7",0.645528123427181
"TMEM178A","Q8NBL3",0.563257782239745
"FAM98A","Q8NCA5",0.521235075759925
"EXPH5","Q8NEV8",0.555237210705324
"GIMAP7","Q8NHV1",0.566213419676639
"MAFA","Q8NHW3",0.620909218051139
"NDNF","Q8TB73",0.544349101438407
"STON2","Q8WXE9",0.54967002682129
"TRIB2","Q92519",0.620731816830459
"SPOCK2","Q92563",0.606171046697241
"NDRG1","Q92597",0.596114963300786
"HTRA1","Q92743",0.709578494107056
"APBB2","Q92870",0.516185907433811
"MAL2","Q969L2",0.533143329885353
"RERG","Q96A58",0.551710928906352
"FERMT2","Q96AC1",0.529756844952714
"PCMTD1","Q96MG8",0.500136906607097
"RNF145","Q96MT1",0.539536004269922
"NT5C1B","Q96P26",0.544456121799965
"QKI","Q96PU8",0.615613396870264
"LENG8","Q96PV6",0.516166152330711
"PURB","Q96QR8",0.502151778994282
"SORT1","Q99523",0.60005816802636
"EIF3C","Q99613",0.629234218285391
"H2BC13","Q99880",0.501146931676073
"RARRES2","Q99969",0.540707023118836
"SOST","Q9BQB4",0.555736959138449
"AIF1L","Q9BQI0",0.666978516166564
"NDUFAF3","Q9BU61",0.522107313645767
"NBPF3","Q9H094",0.557384578538463
"HIPK2","Q9H2X6",0.565432862176451
"TXNIP","Q9H3M7",0.680089717028483
"GOLPH3","Q9H4A6",0.500588099127348
"RETREG1","Q9H6L5",0.584216177833667
"ZDHHC6","Q9H6R6",0.522900739872067
"C1orf115","Q9H7X2",0.542761335037681
"TCIM","Q9NR00",0.619067810116725
"PCMTD2","Q9NV79",0.502059185720672
"CCDC198","Q9NVL8",0.567286897240072
"ARGLU1","Q9NWB6",0.537601376457076
"CLIC5","Q9NZA1",0.730916928946278
"MTCH1","Q9NZJ7",0.537143130647269
"EHD3","Q9NZN3",0.542819861682645
"CRIM1","Q9NZV1",0.643430728171419
"RNF181","Q9P0P0",0.530750455358089
"ZBTB4","Q9P1Z0",0.640682145581273
"CALCOCO1","Q9P1Z2",0.556435200732168
"PLCE1","Q9P212",0.697243856913676
"ARHGAP23","Q9P227",0.609810668081703
"MORF4L1","Q9UBU8",0.604030628395197
"SEL1L","Q9UBV2",0.638664554431476
"LAMTOR3","Q9UHA4",0.508287821890793
