"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"A1BG_HUMAN",0.00402265610013111,0.00154240137172203,0.00134136542072962,0.00034934668817912,0.000431452456675988
"A1CF_HUMAN",0.00630769210199834,0.00873906440358608,0.000248511134944782,1.72681593604927e-05,0.000336938785362855
"A2MG_HUMAN",0.000569002803936192,0.000630941393548823,0.000884165891119389,0.000819168112732143,0.0276226335703852
"A2ML1_HUMAN",0.0115369498068816,5.30915112441403e-06,0.00143578611312826,0.00767294971302579,1.08610074710648e-05
"A3LT2_HUMAN",0.00638255207095594,0.0123272320082537,0.00531279733809163,0.0011400000963879,0.000364333033739493
"A4GAT_HUMAN",0.00254882643384324,0.00959660455259751,0.0126553684319515,0.0176329383863627,0.000605198924955808
"A4GCT_HUMAN",0.00299604875967369,0.00224350231640434,4.21902849434757e-05,0.00589259459397353,0.0240454560848909
"AAAS_HUMAN",0.00668757496800951,0.0196446461459676,0.00287996151031166,1.94665785870987e-05,0.000850690557588812
"AACS_HUMAN",0.00260342953883613,0.00468356781556893,5.60610074960294e-05,0.0251359416419012,0.0116387062550345
"AAAD_HUMAN",0.000591779865389506,0.00233572205139807,0.000162197513899903,0.0179811373394338,0.0200787603758621
"ADCL2_HUMAN",0.0126428020413373,0.00854001510903809,3.07007773618917e-05,0.000888461955944886,3.07838511858274e-05
"ADCL3_HUMAN",0.00403249472723769,0.00172671518204527,0.000161119077142881,0.000518941150305922,0.0130893202069108
"ADCL4_HUMAN",0.00981475895837618,0.00640248173299223,0.00671069835248108,0.000562177158781162,4.49862456257277e-06
"AADAT_HUMAN",0.000716870287898232,0.0066988417875426,0.00519577633057277,0.0245719967280314,1.61618406484085e-05
"AAGAB_HUMAN",0.00696967730990979,0.0211159093473321,0.00543517067902943,0.000438947764880251,0.000222485428596691
"AAK1_HUMAN",0.00224978274189568,0.00844274777706344,0.00290150269247821,0.000473125054880737,0.00481528663580739
"AAMDC_HUMAN",0.000204660755230681,0.00664055854087929,0.00692112519215205,0.00482253085846782,0.0067072898721667
"AAMP_HUMAN",0.020067506378902,0.000263977907888977,0.00175976205755433,0.00286851387073796,0.000547246565454197
"SNAT_HUMAN",0.00264974671320217,0.000913182194133912,0.0177597823679476,0.00131574309517666,0.000588811627386575
"AAR2_HUMAN",6.98456127739118e-05,0.0165308922061945,0.000336981499482254,0.013276562742543,6.67408934791091e-06
"AARD_HUMAN",0.0109339171225174,0.000182607963224231,0.00754371138243849,0.00302584152344601,0.0113053112769162
"SYAC_HUMAN",0.00996593368756958,0.00726526258555571,0.000159959040427745,0.00976457406541284,1.39938578069836e-06
"SYAM_HUMAN",0.0138173395982001,0.000347110188471595,2.1517252341923e-07,0.000324064372948706,0.0039507377204715
"AASD1_HUMAN",0.0051209138078191,0.000870492002138561,0.00134656537553372,0.00598329135801731,0.016353158563487
"ACSF4_HUMAN",0.000336429081758517,0.000109272102306633,0.00136641680132351,0.00758716314452735,0.0013459190088824
"ADPPT_HUMAN",0.00220913760653573,0.0227742380407096,1.54758249586274e-05,0.00488484489651425,7.50992108015684e-05
"AASS_HUMAN",1.11995218927211e-05,0.00668804124287507,0.00095658172354655,0.00155991171486055,0.00356093182734095
"AATF_HUMAN",0.000590994743871773,0.000681913772876326,0.00656571569293096,0.0035264539919605,0.000570783098782615
"LMTK1_HUMAN",0.00650658951424834,0.00101937528953262,0.00809068509850886,0.00249498419664149,0.00353814648703301
"GABT_HUMAN",0.00146332047420186,0.00151649811888242,0.000131402729858303,2.1794828301732e-05,0.000138006495646448
"ABCA1_HUMAN",0.00969680438265142,1.19082266078191e-05,0.000311775151579881,0.000281751967613616,0.00172665026524684
"ABCAA_HUMAN",0.00596327503046396,0.0015657969364131,0.00271633365657744,0.0164460873287404,0.00447795630856979
"ABCAC_HUMAN",0.00548709612784193,0.00318213054914578,0.000795133617286248,0.00200648870881856,0.00070699276079008
"ABCAD_HUMAN",0.00402164050557706,0.0191964536278946,0.0183212645710764,0.00078414349790592,0.00569872480677971
"ABCA2_HUMAN",0.0101960893296824,4.05048532675995e-05,0.00913853477241328,0.000147790075665162,0.00839673389291388
"ABCA3_HUMAN",0.0051620540728365,0.0165242528690143,0.00191306601266502,0.000230126440045909,0.013354917687619
"ABCA4_HUMAN",0.0129897956650798,0.00259709672663812,0.00134520788215726,0.00288546508125361,0.000236797861532741
"ABCA5_HUMAN",0.00349519436621081,0.00653997965218745,0.00511969922579971,1.07798270499181e-06,0.0148529039663712
"ABCA6_HUMAN",0.00427264737156652,0.00547092555988623,0.00935638601548951,0.00851409788565603,0.00404666051271148
"ABCA7_HUMAN",0.00578501906256238,0.00276969206109907,3.7752666396011e-05,0.00408009060570939,0.000297947357171272
"ABCA8_HUMAN",0.00224772630116016,0.012542979944201,0.00760737840413207,4.0868784146796e-05,0.000510454858710086
"ABCA9_HUMAN",0.00280758458425979,0.000449469594488386,0.00116036616452935,0.0238102648535742,0.00273750250313192
"MDR1_HUMAN",0.00404167762988058,0.00518122485259277,0.00282581361440698,0.0193474118633924,0.000259943084680415
"ABCBA_HUMAN",6.06724298824472e-05,0.0374406673930424,0.00592194164719181,0.00256986975985544,0.0226732180503107
"ABCBB_HUMAN",0.0122452812543113,0.0019754557329074,0.000532252311029994,0.000357389027921541,0.00156539223342745
"MDR3_HUMAN",0.00839629435393605,0.00129560285174749,0.000640010686864814,0.0131966414399476,0.000771230231180585
