"","Pearson_correlation"
"A1BG_HUMAN",-0.119079767817799
"A1CF_HUMAN",-0.296059735321272
"A2MG_HUMAN",-0.252652557745008
"A2ML1_HUMAN",-0.230507234511949
"A3LT2_HUMAN",0.0179112080621468
"A4GAT_HUMAN",-0.0739395269294711
"A4GCT_HUMAN",-0.0919141487273449
"AAAS_HUMAN",0.153933879265338
"AACS_HUMAN",-0.398124722197028
"AAAD_HUMAN",0.146118573186524
"ADCL2_HUMAN",-0.153093178807535
"ADCL3_HUMAN",-0.125911142073037
"ADCL4_HUMAN",-0.280138907715562
"AADAT_HUMAN",-0.176000173561579
"AAGAB_HUMAN",0.0533369618398152
"AAK1_HUMAN",-0.0120307328079882
"AAMDC_HUMAN",-0.219587406933716
"AAMP_HUMAN",-0.355042107919552
"SNAT_HUMAN",-0.0679892277714914
"AAR2_HUMAN",0.328449005816685
"AARD_HUMAN",-0.0924981397203272
"SYAC_HUMAN",0.1119585349404
"SYAM_HUMAN",0.259466151194533
"AASD1_HUMAN",0.247424830295528
"ACSF4_HUMAN",-0.0121209575422427
"ADPPT_HUMAN",-0.109373534016547
"AASS_HUMAN",-0.269931904746182
"AATF_HUMAN",0.248183128963679
"LMTK1_HUMAN",-0.0205744463602982
"GABT_HUMAN",-0.0116187823443672
"ABCA1_HUMAN",0.312868953330035
"ABCAA_HUMAN",-0.00023708112275715
"ABCAC_HUMAN",-0.366387221209277
"ABCAD_HUMAN",-0.355783648795175
"ABCA2_HUMAN",0.0915962996997731
"ABCA3_HUMAN",0.0770208154971166
"ABCA4_HUMAN",-0.0585833085243434
"ABCA5_HUMAN",0.30253887768684
"ABCA6_HUMAN",-0.247035588871041
"ABCA7_HUMAN",0.0988923169151214
"ABCA8_HUMAN",0.13241325032608
"ABCA9_HUMAN",-0.164240781301394
"MDR1_HUMAN",0.192181156905611
"ABCBA_HUMAN",-0.0198490287611516
"ABCBB_HUMAN",-0.328504953261212
"MDR3_HUMAN",-0.103241159700656
"ABCB5_HUMAN",-0.155538508005741
"ABCB6_HUMAN",-0.309009603111057
"ABCB7_HUMAN",0.00321350332626146
