"Gene","Uniprot","Pearson_correlation"
"EGFL7","Q9UHF1",0.508945362188338
"CDC42EP3","Q9UKI2",0.578060008373669
"EMCN","Q9ULC0",0.855657812216073
"MACF1","Q9UPN3",0.516476822715966
"USP22","Q9UPT9",0.519453800008208
"ITM2B","Q9Y287",0.744775713450667
"TLN1","Q9Y490",0.602355956648077
"H3_5","Undefined_ID_H3_5",0.513942065278975
"HLA_B","Undefined_ID_HLA_B",0.521289546472954
"HLA_E","Undefined_ID_HLA_E",0.514186683405085
