"UniprotID"	"original"
"O43609"	"SPRY1"
"O43674"	"NDUFB5"
"O43676"	"NDUFB3"
"O43677"	"NDUFC1"
"O43678"	"NDUFA2"
"O43709"	"BUD23"
"O43719"	"HTATSF1"
"O43747"	"AP1G1"
"O43760"	"SYNGR2"
"O43768"	"ENSA"
"O43772"	"SLC25A20"
"O43776"	"NARS1"
"O43795"	"MYO1B"
"O43813"	"LANCL1"
"O43824"	"GTPBP6"
"O43854"	"EDIL3"
"O43865"	"AHCYL1"
"O43889"	"CREB3"
"O43916"	"CHST1"
"O43920"	"NDUFS5"
"O43934"	"MFSD11"
"O60238"	"BNIP3L"
"O60271"	"SPAG9"
"O60307"	"MAST3"
"O60337"	"MARCHF6"
"O60341"	"KDM1A"
"O60353"	"FZD6"
"O60356"	"NUPR1"
"O60381"	"HBP1"
"O60476"	"MAN1A2"
"O60477"	"BRINP1"
"O60493"	"SNX3"
"O60499"	"STX10"
"O60504"	"SORBS3"
"O60506"	"SYNCRIP"
"O60519"	"CREBL2"
"O60524"	"NEMF"
"O60548"	"FOXD2"
"O60663"	"LMX1B"
"O60675"	"MAFK"
"O60704"	"TPST2"
"O60749"	"SNX2"
"O60783"	"MRPS14"
"O60812"	"HNRNPCL1"
"O60830"	"TIMM17B"
"O60841"	"EIF5B"
"O60884"	"DNAJA2"
"O60888"	"CUTA"
"O60925"	"PFDN1"
"O60927"	"PPP1R11"
"O60930"	"RNASEH1"
"O75051"	"PLXNA2"
"O75064"	"DENND4B"
"O75071"	"EFCAB14"
"O75147"	"OBSL1"
"O75152"	"ZC3H11A"
"O75154"	"RAB11FIP3"
"O75159"	"SOCS5"
"O75170"	"PPP6R2"
"O75179"	"ANKRD17"
"O75190"	"DNAJB6"
"O75208"	"COQ9"
"O75223"	"GGCT"
"O75306"	"NDUFS2"
"O75340"	"PDCD6"
"O75347"	"TBCA"
"O75351"	"VPS4B"
"O75356"	"ENTPD5"
"O75367"	"MACROH2A1"
"O75376"	"NCOR1"
"O75380"	"NDUFS6"
"O75390"	"CS"
"O75391"	"SPAG7"
"O75396"	"SEC22B"
"O75427"	"LRCH4"
"O75436"	"VPS26A"
"O75438"	"NDUFB1"
"O75444"	"MAF"
"O75461"	"E2F6"
"O75474"	"FRAT2"
"O75494"	"SRSF10"
"O75521"	"ECI2"
"O75531"	"BANF1"
"O75533"	"SF3B1"
"O75534"	"CSDE1"
"O75554"	"WBP4"
"O75581"	"LRP6"
"O75592"	"MYCBP2"
"O75604"	"USP2"
"O75629"	"CREG1"
"O75636"	"FCN3"
"O75665"	"OFD1"
"O75683"	"SURF6"
"O75688"	"PPM1B"
"O75716"	"STK16"
"O75787"	"ATP6AP2"
"O75808"	"CAPN15"
"O75815"	"BCAR3"
"O75821"	"EIF3G"
"O75822"	"EIF3J"
"O75840"	"KLF7"
"O75865"	"TRAPPC6A"
"O75886"	"STAM2"
"O75911"	"DHRS3"
"O75923"	"DYSF"
"O75928"	"PIAS2"
"O75934"	"BCAS2"
"O75940"	"SMNDC1"
"O75954"	"TSPAN9"
"O75955"	"FLOT1"
"O75956"	"CDK2AP2"
"O75962"	"TRIO"
"O75976"	"CPD"
"O76001"	"OR2J3"
"O76011"	"KRT34"
"O76013"	"KRT36"
"O76031"	"CLPX"
"O76041"	"NEBL"
"O76094"	"SRP72"
"O76099"	"OR7C1"
"O94766"	"B3GAT3"
"O94788"	"ALDH1A2"
"O94817"	"ATG12"
"O94827"	"PLEKHG5"
"O94842"	"TOX4"
"O94850"	"DDN"
"O94851-L2"	"MICAL2"
"O94854"	"KIAA0754"
"O94856"	"NFASC"
"O94874"	"UFL1"
"O94876"	"TMCC1"
"O94885"	"SASH1"
"O94901"	"SUN1"
"O94903"	"PLPBP"
"O94919"	"ENDOD1"
"O94953"	"KDM4B"
"O94966"	"USP19"
"O94979"	"SEC31A"
"O94989"	"ARHGEF15"
"O95013"	"OR4F21"
"O95047"	"OR2A4"
"O95071"	"UBR5"
"O95081"	"AGFG2"
"O95139"	"NDUFB6"
"O95149"	"SNUPN"
"O95153"	"TSPOAP1"
"O95155"	"UBE4B"
"O95164"	"UBL3"
"O95166"	"GABARAP"
"O95168"	"NDUFB4"
"O95208"	"EPN2"
"O95210"	"STBD1"
"O95218"	"ZRANB2"
"O95232"	"LUC7L3"
"O95238"	"SPDEF"
"O95251"	"KAT7"
"O95260"	"ATE1"
"O95302"	"FKBP9"
"O95336"	"PGLS"
"O95365"	"ZBTB7A"
"O95372"	"LYPLA2"
"O95373"	"IPO7"
"O95376"	"ARIH2"
"O95424"	"DEXI"
"O95433"	"AHSA1"
"O95453"	"PARN"
"O95461"	"LARGE1"
"O95473"	"SYNGR4"
"O95476"	"CTDNEP1"
"O95478"	"NSA2"
"O95503"	"CBX6"
"O95563"	"MPC2"
"O95573"	"ACSL3"
"O95600"	"KLF8"
"O95628"	"CNOT4"
"O95633"	"FSTL3"
"O95716"	"RAB3D"
"O95721"	"SNAP29"
"O95785"	"WIZ"
"O95793"	"STAU1"
"O95801"	"TTC4"
"O95807"	"TMEM50A"
"O95810"	"CAVIN2"
"O95817"	"BAG3"
"O95825"	"CRYZL1"
"O95848"	"NUDT14"
"O95861"	"BPNT1"
"O95872"	"GPANK1"
"O95905"	"ECD"
"O95931"	"CBX7"
"O95947"	"TBX6"
"O95967"	"EFEMP2"
