"Gene","Uniprot","Pearson_correlation"
"TCIM","Q9NR00",0.635568812774299
"PRMT8","Q9NR22",0.517557778367161
"ATG3","Q9NT62",0.503704855636382
"SHFL","Q9NUL5",0.514875533529845
"LMBRD1","Q9NUN5",0.557108912424273
"ARGLU1","Q9NWB6",0.574273235398262
"PRR13","Q9NZ81",0.538940836195197
"MTCH1","Q9NZJ7",0.585894917161497
"TMEM14C","Q9P0S9",0.528901349550963
"ARMCX3","Q9UH62",0.572046574162543
"EGFL7","Q9UHF1",0.574651257067004
"GGT7","Q9UJ14",0.505584764102046
"SH3BGRL2","Q9UJC5",0.573058844285784
"ZMIZ1","Q9ULJ6",0.581555689351617
"USP22","Q9UPT9",0.521785412050971
"SBDS","Q9Y3A5",0.596314132761408
"PLXND1","Q9Y4D7",0.547722318862006
"TLN2","Q9Y4G6",0.571608334539876
"SPIN1","Q9Y657",0.50003058345882
"EPN1","Q9Y6I3",0.541766445158477
"H1_8","Undefined_ID_H1_8",0.518955097037112
"H3_3A","Undefined_ID_H3_3A",0.537836336502082
"HLA_B","Undefined_ID_HLA_B",0.545984654718519
"HLA_C","Undefined_ID_HLA_C",0.545500020425357
"HLA_E","Undefined_ID_HLA_E",0.550623290360779
"HLA_F","Undefined_ID_HLA_F",0.531696222620627
