"Gene","Uniprot","Pearson_correlation"
"H2AC19","Q6FI13",0.509484766007906
"PDXDC1","Q6P996",0.607800418744959
"NPNT","Q6UXI9",0.650185577892553
"RIPOR1","Q6ZS17",0.564847542367654
"BZW1","Q7L1Q6",0.508691134735113
"SETX","Q7Z333",0.532033605747156
"NOTCH2NLA","Q7Z3S9",0.54122283908495
"NET1","Q7Z628",0.505986812901178
"ARMH4","Q86TY3",0.757848179478784
"PABPN1","Q86U42",0.566345454442778
"KTN1","Q86UP2",0.509222573139506
"SERINC5","Q86VE9",0.591248698489919
"PAQR7","Q86WK9",0.505000835661156
"MIB1","Q86YT6",0.549530560413382
"SLC44A2","Q8IWA5",0.656136760131791
"PHACTR4","Q8IZ21",0.53291119143518
"ADGRF5","Q8IZF2",0.575501237613349
"MPP5","Q8N3R9",0.773360906992779
"SYNPO","Q8N3V7",0.766359352532136
"TMEM178A","Q8NBL3",0.570222770835009
"EXPH5","Q8NEV8",0.513097269372769
"GIMAP7","Q8NHV1",0.505575044256406
"MAFA","Q8NHW3",0.65021321362738
"NDNF","Q8TB73",0.710841632230617
"SEC14L1","Q92503",0.655654069543276
"TRIB2","Q92519",0.669100645543855
"SPOCK2","Q92563",0.778447366485591
"NDRG1","Q92597",0.511383955745102
"NECTIN2","Q92692",0.577362079033986
"HTRA1","Q92743",0.814089444951891
"APBB2","Q92870",0.524403941148024
"MAL2","Q969L2",0.584378889396663
"PCMTD1","Q96MG8",0.506480952680031
"QKI","Q96PU8",0.539716028324224
"LENG8","Q96PV6",0.617733233809821
"CCNL2","Q96S94",0.533253798656366
"SORT1","Q99523",0.688736823563448
"EIF3C","Q99613",0.60999680027707
"CITED2","Q99967",0.632050067935162
"RARRES2","Q99969",0.598206019374578
"SOST","Q9BQB4",0.536690549824556
"AIF1L","Q9BQI0",0.761406485844136
"MXRA8","Q9BRK3",0.550027121603752
"ADI1","Q9BV57",0.579109193322216
"TPPP3","Q9BW30",0.544531088793907
"SSBP3","Q9BWW4",0.507059429907568
"OSBPL8","Q9BZF1",0.508923212539863
"NBPF3","Q9H094",0.630511227575768
"HIPK2","Q9H2X6",0.608603637900518
"TXNIP","Q9H3M7",0.643970578821685
"RETREG1","Q9H6L5",0.550329669637992
"ZDHHC6","Q9H6R6",0.647265841782969
"NPHS2","Q9NP85",0.628570469386736
"BRD7","Q9NPI1",0.529111126214884
"NPDC1","Q9NQX5",0.608211688385326
"ARHGEF3","Q9NR81",0.693119985086052
"CTNNBIP1","Q9NSA3",0.501077323161402
"SEPTIN11","Q9NVA2",0.596823021815935
"CCDC198","Q9NVL8",0.513134454303984
"ARGLU1","Q9NWB6",0.506395262086566
"BEX4","Q9NWD9",0.510440178886976
"OCIAD1","Q9NX40",0.518991231103306
"FMN2","Q9NZ56",0.515959525669116
"CLIC5","Q9NZA1",0.852440377848643
"MTCH1","Q9NZJ7",0.584326359984628
"EHD3","Q9NZN3",0.647311157624447
"ARHGEF12","Q9NZN5",0.565176613593903
"CRIM1","Q9NZV1",0.742098828636167
"ZBTB4","Q9P1Z0",0.678911646457783
"CALCOCO1","Q9P1Z2",0.565257484102764
"PLCE1","Q9P212",0.726022508316858
"ARHGAP23","Q9P227",0.602076170919218
"MORF4L1","Q9UBU8",0.526739405405582
"SEL1L","Q9UBV2",0.679882071679737
"ADD3","Q9UEY8",0.570091232040244
"SUN2","Q9UH99",0.579307913955994
"PCYOX1","Q9UHG3",0.564121884389312
"DACH1","Q9UI36",0.645430613118824
"ATP5IF1","Q9UII2",0.525422542675398
"GGT7","Q9UJ14",0.585994973627332
"CDC42EP3","Q9UKI2",0.562940074547717
"PCOLCE2","Q9UKZ9",0.69101912709687
"EMCN","Q9ULC0",0.581974106918612
"USP22","Q9UPT9",0.579780939353817
"THSD7A","Q9UPZ6",0.567616945896248
"SRRM2","Q9UQ35",0.642879848244238
"ST3GAL6","Q9Y274",0.581111622246304
"ITM2B","Q9Y287",0.78960821868108
"NTNG1","Q9Y2I2",0.630407379816413
"RBM8A","Q9Y5S9",0.504224294164029
"H3_3A","Undefined_ID_H3_3A",0.557363697444398
"H3_5","Undefined_ID_H3_5",0.601531927154949
"HLA_E","Undefined_ID_HLA_E",0.536196362355297
