"UniprotID"	"original"
"Q8WUA8"	"TSKU"
"Q8WXG6"	"MADD"
"Q92599"	"SEPTIN8"
"Q92686"	"NRGN"
"Q93052"	"LPP"
"Q969G5"	"CAVIN3"
"Q969G6"	"RFK"
"Q969M3"	"YIPF5"
"Q969T4"	"UBE2E3"
"Q969V6"	"MRTFA"
"Q96AG3"	"SLC25A46"
"Q96CP2"	"FLYWCH2"
"Q96DB9"	"FXYD5"
"Q96E11"	"MRRF"
"Q96FW1"	"OTUB1"
"Q96G28"	"CFAP36"
"Q96GE9"	"DMAC1"
"Q96GQ5"	"C16orf58"
"Q96IY4"	"CPB2"
"Q96KG9"	"SCYL1"
"Q96PQ7"	"KLHL5"
"Q96RE7"	"NACC1"
"Q96T58"	"SPEN"
"Q99424"	"ACOX2"
"Q99715"	"COL12A1"
"Q99735"	"MGST2"
"Q99757"	"TXN2"
"Q9BQA1"	"WDR77"
"Q9BQJ4"	"TMEM47"
"Q9BTV4"	"TMEM43"
"Q9BU79"	"TMEM243"
"Q9BUB7"	"TMEM70"
"Q9BVK8"	"TMEM147"
"Q9BVL2"	"NUP58"
"Q9BWF3"	"RBM4"
"Q9BXB1"	"LGR4"
"Q9BYJ9"	"YTHDF1"
"Q9BZR6"	"RTN4R"
"Q9C0A6"	"SETD5"
"Q9C0B9"	"ZCCHC2"
"Q9GZM5"	"YIPF3"
"Q9GZM8"	"NDEL1"
"Q9GZP1"	"NRSN2"
"Q9H2R5"	"KLK15"
"Q9H320"	"VCX"
"Q9H3Q3"	"GAL3ST2"
"Q9H425"	"C1orf198"
"Q9H4G0"	"EPB41L1"
"Q9H4M9"	"EHD1"
"Q9H6S0"	"YTHDC2"
"Q9H792"	"PEAK1"
"Q9H7F0"	"ATP13A3"
"Q9H832"	"UBE2Z"
"Q9H871"	"RMND5A"
"Q9HBJ8"	"CLTRN"
"Q9HC24"	"TMBIM4"
"Q9HCG7"	"GBA2"
"Q9NPH2"	"ISYNA1"
"Q9NT99"	"LRRC4B"
"Q9NVG8"	"TBC1D13"
"Q9NVH1"	"DNAJC11"
"Q9NVN8"	"GNL3L"
"Q9NWT6"	"HIF1AN"
"Q9NX02"	"NLRP2"
"Q9NX08"	"COMMD8"
"Q9NX61"	"TMEM161A"
"Q9NX76"	"CMTM6"
"Q9NXD2"	"MTMR10"
"Q9NXG2"	"THUMPD1"
"Q9NXH3"	"PPP1R14D"
"Q9NYB9"	"ABI2"
"Q9NZD2"	"GLTP"
"Q9NZI7"	"UBP1"
"Q9UI12"	"ATP6V1H"
"Q9UIF9"	"BAZ2A"
"Q9UIH9"	"KLF15"
"Q9UK33"	"ZNF580"
"Q9UKJ5"	"CHIC2"
"Q9ULJ8"	"PPP1R9A"
"Q9UM11"	"FZR1"
"Q9UMR2"	"DDX19B"
"Q9UN30"	"SCML1"
"Q9UN37"	"VPS4A"
"Q9UPI3"	"FLVCR2"
"Q9UQ53"	"MGAT4B"
"Q9Y2Z2"	"MTO1"
"Q9Y320"	"TMX2"
"Q9Y3E1"	"HDGFL3"
"Q9Y3Y2"	"CHTOP"
"Q9Y653"	"ADGRG1"
"Q9Y6F1"	"PARP3"
"Q9Y6F6"	"MRVI1"
