"UniprotID"	"original"
"Q8N163"	"CCAR2"
"Q8N201"	"INTS1"
"Q8N307"	"MUC20"
"Q8N3X1"	"FNBP4"
"Q8N423"	"LILRB2"
"Q8N565"	"MREG"
"Q8N823"	"ZNF611"
"Q8N8R5"	"C2orf69"
"Q8N9I9"	"DTX3"
"Q8NBL3"	"TMEM178A"
"Q8NEV8"	"EXPH5"
"Q8NG27"	"PJA1"
"Q8NGA8"	"OR4F17"
"Q8NH05"	"OR4Q3"
"Q8TBF8"	"FAM81A"
"Q8TD16"	"BICD2"
"Q8TDB8"	"SLC2A14"
"Q8TF32"	"ZNF431"
"Q8TF65"	"GIPC2"
"Q8WU68"	"U2AF1L4"
"Q8WW12"	"PCNP"
"Q92478"	"CLEC2B"
"Q92667"	"AKAP1"
"Q92833"	"JARID2"
"Q92870"	"APBB2"
"Q92879"	"CELF1"
"Q969L2"	"MAL2"
"Q969X1"	"TMBIM1"
"Q96C11"	"FGGY"
"Q96CW5"	"TUBGCP3"
"Q96DH6"	"MSI2"
"Q96EY9"	"ADAT3"
"Q96FE5"	"LINGO1"
"Q96FN4"	"CPNE2"
"Q96I27"	"ZNF625"
"Q96IZ0"	"PAWR"
"Q96KN3"	"PKNOX2"
"Q96KP1"	"EXOC2"
"Q96KR7"	"PHACTR3"
"Q96LA9"	"MRGPRX4"
"Q96LW7"	"CARD19"
"Q96MA6"	"AK8"
"Q96MC5"	"BMERB1"
"Q96P70"	"IPO9"
"Q96PM5"	"RCHY1"
"Q96SL8"	"FIZ1"
"Q96TA2"	"YME1L1"
"Q99584"	"S100A13"
"Q99733"	"NAP1L4"
"Q9BQG1"	"SYT3"
"Q9BQL6"	"FERMT1"
"Q9BRK0"	"REEP2"
"Q9BRX8"	"PRXL2A"
"Q9BS18"	"ANAPC13"
"Q9BSL1"	"UBAC1"
"Q9BUT1"	"BDH2"
"Q9BV10"	"ALG12"
"Q9BX68"	"HINT2"
"Q9BXF6"	"RAB11FIP5"
"Q9BXJ0"	"C1QTNF5"
"Q9BXJ3"	"C1QTNF4"
"Q9BY12"	"SCAPER"
"Q9BY77"	"POLDIP3"
"Q9BZ95"	"NSD3"
"Q9BZM2"	"PLA2G2F"
"Q9BZM6"	"ULBP1"
"Q9BZQ6"	"EDEM3"
"Q9C0C2"	"TNKS1BP1"
"Q9GZM3"	"POLR2J2"
"Q9H074"	"PAIP1"
"Q9H190"	"SDCBP2"
"Q9H1Z4"	"WDR13"
"Q9H223"	"EHD4"
"Q9H2D6"	"TRIOBP"
"Q9H3C7"	"GGNBP2"
"Q9H4A6"	"GOLPH3"
"Q9H7L9"	"SUDS3"
"Q9H7U1"	"CCSER2"
"Q9H869"	"YY1AP1"
"Q9HBR0"	"SLC38A10"
"Q9HC52"	"CBX8"
"Q9HCP0"	"CSNK1G1"
"Q9HDC9"	"APMAP"
"Q9NPA0"	"EMC7"
"Q9NPE3"	"NOP10"
"Q9NRP0"	"OSTC"
"Q9NRR8"	"CDC42SE1"
"Q9NUL3"	"STAU2"
"Q9NVU7"	"SDAD1"
"Q9NW81"	"DMAC2"
"Q9NWS6"	"FAM118A"
"Q9NX00"	"TMEM160"
"Q9NY26"	"SLC39A1"
"Q9NYP7"	"ELOVL5"
"Q9P031"	"CCDC59"
"Q9P255"	"ZNF492"
"Q9P2R6"	"RERE"
"Q9UBV7"	"B4GALT7"
"Q9UDR5"	"AASS"
"Q9UF12"	"PRODH2"
"Q9UGP4"	"LIMD1"
"Q9UHB9"	"SRP68"
"Q9UHY8"	"FEZ2"
"Q9UIF8"	"BAZ2B"
"Q9UIJ7"	"AK3"
"Q9UKJ3"	"GPATCH8"
"Q9UKQ2"	"ADAM28"
"Q9UKU7"	"ACAD8"
"Q9UKX7"	"NUP50"
"Q9ULD6"	"INTU"
"Q9ULM3"	"YEATS2"
"Q9ULV3"	"CIZ1"
"Q9UMY1"	"NOL7"
"Q9UNE2"	"RPH3AL"
"Q9Y228"	"TRAF3IP3"
"Q9Y259"	"CHKB"
"Q9Y274"	"ST3GAL6"
"Q9Y296"	"TRAPPC4"
"Q9Y2B9"	"PKIG"
"Q9Y2I2"	"NTNG1"
"Q9Y2N7"	"HIF3A"
"Q9Y2W1"	"THRAP3"
"Q9Y2Z0"	"SUGT1"
"Q9Y328"	"NSG2"
"Q9Y333"	"LSM2"
"Q9Y385"	"UBE2J1"
"Q9Y3M2"	"CBY1"
"Q9Y3T6"	"R3HCC1"
"Q9Y6B7"	"AP4B1"
"Q9Y6M1"	"IGF2BP2"
