"","Pearson_correlation"
"A1BG_HUMAN",0.512819493459538
"A1CF_HUMAN",0.137836784203312
"A2MG_HUMAN",0.30716110265573
"A2ML1_HUMAN",0.386768646257576
"A3LT2_HUMAN",-0.109595306597217
"A4GAT_HUMAN",-0.119223570282207
"A4GCT_HUMAN",-0.299341667949112
"AAAS_HUMAN",-0.010692949678809
"AACS_HUMAN",-0.458548430400351
"AAAD_HUMAN",0.300852006399566
"ADCL2_HUMAN",0.148303702021326
"ADCL3_HUMAN",0.185642523237121
"ADCL4_HUMAN",0.0770306760851146
"AADAT_HUMAN",-0.33144870322974
"AAGAB_HUMAN",-0.398222050934698
"AAK1_HUMAN",0.100570967255202
"AAMDC_HUMAN",-0.0647936544065384
"AAMP_HUMAN",0.0530056077822428
"SNAT_HUMAN",-0.313022900077422
"AAR2_HUMAN",-0.0225277484326836
"AARD_HUMAN",0.132003354420634
"SYAC_HUMAN",0.285459317850027
"SYAM_HUMAN",-0.080215052254217
"AASD1_HUMAN",0.165823875548545
"ACSF4_HUMAN",-0.0644450215498817
"ADPPT_HUMAN",0.150856385258763
"AASS_HUMAN",0.258820082021765
"AATF_HUMAN",0.193785158528135
"LMTK1_HUMAN",-0.000993479628957812
"GABT_HUMAN",-0.00248212953164955
"ABCA1_HUMAN",-0.144574649769127
"ABCAA_HUMAN",0.0734920890989061
"ABCAC_HUMAN",-0.203467655249622
"ABCAD_HUMAN",0.106727703905351
"ABCA2_HUMAN",-0.0324876980569951
"ABCA3_HUMAN",0.476709081882663
"ABCA4_HUMAN",0.306748574516103
"ABCA5_HUMAN",-0.177683240486415
"ABCA6_HUMAN",0.128149666258581
"ABCA7_HUMAN",0.097313512778652
"ABCA8_HUMAN",-0.274142098335372
"ABCA9_HUMAN",0.39187011915242
"MDR1_HUMAN",0.532192265259178
"ABCBA_HUMAN",-0.0395170995984044
"ABCBB_HUMAN",0.0105575688353233
"MDR3_HUMAN",-0.35556643121788
"ABCB5_HUMAN",-0.334093923359758
"ABCB6_HUMAN",0.00691587198888737
"ABCB7_HUMAN",-0.0354380717021699
"MITOS_HUMAN",0.0202351221453889
"ABCB9_HUMAN",-0.146235394210172
"MRP1_HUMAN",-0.117695004671679
"MRP7_HUMAN",0.164907857896842
"MRP8_HUMAN",-0.20099528907342
"MRP9_HUMAN",-0.186086861343078
"MRP2_HUMAN",-0.183671866111538
"MRP3_HUMAN",-0.215299376365731
"MRP4_HUMAN",0.187786268795762
"MRP5_HUMAN",0.242114266541671
"MRP6_HUMAN",0.0855835851269635
"ABCC8_HUMAN",-0.226395026197181
"ABCC9_HUMAN",-0.178152186030252
"ABCD1_HUMAN",0.295709960314007
"ABCD2_HUMAN",-0.0581650056232756
"ABCD3_HUMAN",0.274278157119613
"ABCD4_HUMAN",-0.203392298500591
"ABCE1_HUMAN",0.105154539295744
"ABCF1_HUMAN",-0.148141024997521
"ABCF2_HUMAN",0.104025750279101
"ABCF3_HUMAN",-0.1204816397376
"ABCG1_HUMAN",-0.046091838823714
"ABCG2_HUMAN",0.00302305360871944
"ABCG4_HUMAN",-0.21204842896593
"ABCG5_HUMAN",0.324486769663703
"ABCG8_HUMAN",0.236445121434597
"ABHD1_HUMAN",0.0568350844695583
"ABHDA_HUMAN",0.052533066383293
"ABHDB_HUMAN",-0.046828970180759
"ABD12_HUMAN",0.00810921209481818
"AB12B_HUMAN",0.0483288788936647
"ABHDD_HUMAN",0.38601139937905
"ABHEA_HUMAN",-0.550376875405786
"ABHEB_HUMAN",0.214304384015616
"ABH15_HUMAN",-0.488447735418441
"ABHGA_HUMAN",0.0779783499552848
"ABHGB_HUMAN",-0.256478786068493
"AB17A_HUMAN",0.22812516993699
"AB17B_HUMAN",0.0859764287129317
"AB17C_HUMAN",-0.0819178375382383
"ABD18_HUMAN",0.336505718476374
"ABHD2_HUMAN",-0.195580784087448
"ABHD3_HUMAN",-0.265252233345077
"ABHD4_HUMAN",-0.210911900464089
"ABHD5_HUMAN",0.00858253288490361
"ABHD6_HUMAN",0.0853720504467849
"ABHD8_HUMAN",-0.171710035364132
"ABI1_HUMAN",0.145551170381113
"ABI2_HUMAN",0.0958776449716964
"ABI3_HUMAN",-0.0686481209897565
"TARSH_HUMAN",-0.20998691949991
"ABITM_HUMAN",-0.0123302894099725
"ABL1_HUMAN",-0.0947390708695853
"ABL2_HUMAN",0.311412615690131
"ABLM2_HUMAN",0.111879884327073
"ABLM3_HUMAN",-0.297324457823943
"BGAT_HUMAN",-0.300956981937667
"ABR_HUMAN",0.00113309926637119
"ABRA_HUMAN",0.161855296146329
"ABRAL_HUMAN",-0.154776391987076
"ABRX1_HUMAN",-0.110776829826079
"ABRX2_HUMAN",0.375181452149976
"ABT1_HUMAN",0.0383074099468225
"ABTB1_HUMAN",-0.288690170349728
"ABTB2_HUMAN",0.336397116735606
"THIK_HUMAN",-0.182581042336086
"THIM_HUMAN",0.123715602851669
"ACACA_HUMAN",0.13167130359667
"ACACB_HUMAN",0.231354395144147
"ACD10_HUMAN",0.143366291474994
"ACD11_HUMAN",-0.177905130371595
"ACAD8_HUMAN",0.112740405974676
"ACAD9_HUMAN",-0.123673961724836
"ACADL_HUMAN",-0.439286641399517
"ACADM_HUMAN",0.152012249119747
"ACADS_HUMAN",-0.290444531154799
"ACDSB_HUMAN",-0.115402638042408
"ACADV_HUMAN",0.0514841653306318
"PGCA_HUMAN",-0.154595895269743
"ACAP2_HUMAN",-0.328105379809599
"ACAP3_HUMAN",-0.0783550223034756
"THIL_HUMAN",0.00949110265849558
"THIC_HUMAN",0.175694611167907
"GCP60_HUMAN",0.21056379845608
"ACBD4_HUMAN",-0.349065770839213
"ACBD5_HUMAN",0.463167540446536
"ACBD6_HUMAN",0.0870773130329839
"ACBD7_HUMAN",0.288491157127841
"1A1L1_HUMAN",-0.195906569317172
"1A1L2_HUMAN",0.114870410031404
"R4GNJ5_HUMAN",-0.108753158312639
"ACE_HUMAN",0.0877022639037567
"ACE2_HUMAN",0.188400616248414
"ACER1_HUMAN",0.135397593536566
"ACER2_HUMAN",-0.0282335567688382
"ACER3_HUMAN",-0.0449740279972115
"ACES_HUMAN",0.112025964367448
"ACINU_HUMAN",-0.0453887439964099
"ACKR1_HUMAN",-0.363920252240638
"V9GYB7_HUMAN",-0.301947770328857
"ACKR3_HUMAN",0.314496514836914
"ACKR4_HUMAN",0.200161714139981
"ACLY_HUMAN",-0.153759506191544
"ACMSD_HUMAN",-0.0633039959025423
"ACOC_HUMAN",-0.0413880688109164
"ACON_HUMAN",-0.144909479388486
"IRG1_HUMAN",0.00195385858024241
"ACOT1_HUMAN",-0.0129228283971677
"ACO11_HUMAN",-0.193384111281595
"ACO12_HUMAN",-0.104003694404252
"ACO13_HUMAN",0.0839363715056075
"ACOT2_HUMAN",0.0164975041241063
"ACOT4_HUMAN",0.203274092044796
"ACOT6_HUMAN",-0.373073793263833
"BACH_HUMAN",0.481155136841766
"ACOT8_HUMAN",-0.356347804060779
"ACOT9_HUMAN",-0.296759432380743
"ACOX1_HUMAN",0.165296447181598
"ACOX2_HUMAN",-0.00555466962577164
"ACOX3_HUMAN",0.0591969938922303
"ACOXL_HUMAN",-0.232180945301006
"PPAC_HUMAN",0.140323090320881
"PPAL_HUMAN",-0.470570721832756
"PPAT_HUMAN",-0.115840909702063
"PPA5_HUMAN",-0.261526505904391
"PPA6_HUMAN",-0.355530676073285
"ACP7_HUMAN",-0.260886926444387
"ACRO_HUMAN",-0.0678637286333391
"ACRBP_HUMAN",0.084242249828538
"ASPX_HUMAN",-0.172177026751308
"ACBG2_HUMAN",0.291860792540925
"ACSF2_HUMAN",-0.283667146011458
"ACSF3_HUMAN",0.294853144260639
"ACSL1_HUMAN",-0.134903084480596
"ACSL3_HUMAN",0.171522013849355
"ACSL4_HUMAN",0.249301367477266
"ACSL5_HUMAN",0.243485877194397
"ACSL6_HUMAN",-0.339549862937294
"ACSM1_HUMAN",-0.142648937947569
"ACS2A_HUMAN",-0.0867272736703489
"ACSM3_HUMAN",0.0396542053617411
"ACSM4_HUMAN",-0.203041381090197
"ACSM5_HUMAN",0.0810047993375257
"ACSM6_HUMAN",-0.0662329467454211
"ACS2L_HUMAN",-0.169393104777752
"ACSA_HUMAN",-0.402914852084549
"ACSS3_HUMAN",0.324837765438389
"ACTS_HUMAN",-0.178356015629666
"ACTA_HUMAN",1
"ACTC_HUMAN",-0.0490796877734032
"ACTH_HUMAN",0.279560555064774
"ACL10_HUMAN",-0.104131981158291
"ACL6A_HUMAN",0.213066810616736
"ACL6B_HUMAN",-0.216568356282615
"ACL7A_HUMAN",-0.273711216656322
"ACL7B_HUMAN",-0.117695004671679
"ACTL8_HUMAN",0.0162835848860685
"ACTL9_HUMAN",-0.0449659132516194
"ACTN1_HUMAN",0.219869610170379
"ACTN2_HUMAN",0.317638960223779
"ACTN3_HUMAN",-0.273654124775542
"ACTN4_HUMAN",0.171008219247552
"ARP10_HUMAN",-0.153367785772638
"ACTZ_HUMAN",-0.30286972457368
"ACTY_HUMAN",0.431757059209974
"ARP2_HUMAN",0.463511241526538
"ARP3_HUMAN",0.223034807685933
"ARP3B_HUMAN",-0.219923282477758
"ARP5_HUMAN",-0.0990152023149227
"ARP6_HUMAN",0.187306952075079
"ARP8_HUMAN",0.367974435482177
"ACTT1_HUMAN",-0.344171638748188
"ACTT2_HUMAN",-0.404599941847166
"ACTT3_HUMAN",-0.195166325854076
"ACVR1_HUMAN",0.0540500084911821
"ACV1B_HUMAN",0.0506869419305574
"ACV1C_HUMAN",0.0644039391322103
"AVR2A_HUMAN",0.00761571695638951
"AVR2B_HUMAN",-0.0326234320868733
"ACVL1_HUMAN",-0.172425324965278
"ACY1_HUMAN",-0.179554387771623
"ACY3_HUMAN",-0.149205068622058
"ACYP1_HUMAN",0.0777904341554745
"ACYP2_HUMAN",0.0414837742967658
"ADA_HUMAN",0.320046229111249
"ADA2_HUMAN",0.461920551658888
"ADAD1_HUMAN",-0.499314762422823
"ADAD2_HUMAN",-0.15103922109319
"ADAL_HUMAN",0.0986639910924384
"ADA10_HUMAN",-0.265047892008053
"ADA11_HUMAN",0.275543988931687
"ADA12_HUMAN",0.114866076475924
"ADA15_HUMAN",0.277341675633419
"ADA17_HUMAN",0.207615071089171
"ADA18_HUMAN",0.121632628354228
"ADA19_HUMAN",0.220083683011405
"ADAM2_HUMAN",-0.117695004671679
"ADA21_HUMAN",-0.125716091318895
"ADA22_HUMAN",0.210849012764905
"ADA23_HUMAN",-0.175041742833295
"A0A384NKT9_HUMAN",-0.0754584408704761
"ADA29_HUMAN",0.336829237005481
"ADA30_HUMAN",0.0946065234960083
"ADA32_HUMAN",0.14584489411101
"ADA33_HUMAN",-0.0674018909166107
"ADAM7_HUMAN",-0.0277650161876576
"ADAM8_HUMAN",0.337581243571783
"ADAM9_HUMAN",0.557596257035458
"ADEC1_HUMAN",0.0513155905519949
"ATS1_HUMAN",0.00561910411248373
"ATS10_HUMAN",-0.281509335821037
"ATS12_HUMAN",-0.280679744378278
"ATS13_HUMAN",-0.0572577864115753
"ATS14_HUMAN",0.194946425405192
"ATS15_HUMAN",-0.117695004671679
"ATS16_HUMAN",0.35900714975018
"ATS18_HUMAN",-0.22054294308195
"ATS19_HUMAN",-0.0969060217604275
"ATS2_HUMAN",-0.0275241185935689
"ATS20_HUMAN",-0.0401343259595306
"ATS3_HUMAN",-0.322763168919516
"ATS4_HUMAN",0.367791685608575
"ATS5_HUMAN",0.668511014130976
"ATS6_HUMAN",-0.00906273747693977
"ATS7_HUMAN",-0.0991506323294386
"ATS8_HUMAN",-0.323251461479485
"ATS9_HUMAN",-0.296294960427053
"ATL1_HUMAN",-0.0353437424635418
"ATL2_HUMAN",0.47772527578813
"ATL3_HUMAN",0.00109720687172802
"ATL4_HUMAN",0.00860915366644467
"ATL5_HUMAN",0.272542752869037
"ADAP1_HUMAN",0.384556139065638
"ADAP2_HUMAN",-0.147278914057625
"DSRAD_HUMAN",-0.546518936422894
"RED1_HUMAN",-0.105655459812315
"RED2_HUMAN",0.0790057271077581
"ADAT1_HUMAN",-0.559603233295732
"ADAT2_HUMAN",0.0878062060867214
"ADAT3_HUMAN",-0.0365854944135995
"ADCK1_HUMAN",0.00780623949675901
"ADCK2_HUMAN",0.175735858335953
"ADCK5_HUMAN",0.136348488662433
"ADCY1_HUMAN",-0.0256526133832179
"ADCYA_HUMAN",0.0135910296840807
"ADCY2_HUMAN",0.00813700496727957
"ADCY3_HUMAN",0.0831871787553208
"ADCY4_HUMAN",-0.00871460303614157
"ADCY5_HUMAN",0.0400362133519964
"ADCY6_HUMAN",-0.0266979324248665
"ADCY7_HUMAN",0.156469671970413
"ADCY8_HUMAN",0.0103134025265812
"ADCY9_HUMAN",-0.102051705619969
