"","Dim.1","Dim.2","Dim.3","Dim.4"
"ABCG5_HUMAN",0.00274241898832395,0.0149556435500587,0.000130276540821883,0.0034803052133215
"ABCG8_HUMAN",0.0109269752612103,1.34851458105125e-07,0.00631703508367772,0.00411778126147861
"ABHD1_HUMAN",0.00139451214996115,0.000742758846230529,0.0200729531515761,0.000115362877102126
"ABHDA_HUMAN",0.0144299003144582,0.000254848744696107,0.00336605728537669,0.00260844100399506
"ABHDB_HUMAN",0.0122213158458264,0.000124079839493108,0.00646372996337975,0.00214572193751566
"ABD12_HUMAN",4.34714988097095e-06,0.000260864875967634,0.0173888976778024,0.00546884336907907
"AB12B_HUMAN",0.00481745922481966,0.00617077681392395,0.0084905031556217,0.00209167687393497
"ABHDD_HUMAN",0.00758364731635008,0.0104566076668183,4.81728459068444e-06,0.00283583167264193
"ABHEA_HUMAN",0.000638516248936302,0.00279617732747485,0.00623029125476791,0.0140338913285933
"ABHEB_HUMAN",0.00470471213183671,0.0146881320312773,0.000948126823071395,0.000375904760868589
"ABH15_HUMAN",0.0132619093886476,0.00612287496976217,0.000638484340099701,7.32957177177904e-05
"ABHGA_HUMAN",0.000372793302288779,0.000317535571575996,0.0191566007505198,0.00295859393453046
"ABHGB_HUMAN",0.00603531189473255,0.0017921183377634,0.000537596633031465,0.0146686297744677
"AB17A_HUMAN",0.00054436756683615,0.00715257515256197,0.00181362186848684,0.0138258850279233
"AB17B_HUMAN",0.0106428674575275,0.00294273208733665,0.00525722704469739,0.00211672856370142
"AB17C_HUMAN",4.69074713719385e-05,0.0172324351034418,0.000721760996360808,0.00353291343392371
"ABD18_HUMAN",0.000249675508581826,0.0205653530715479,6.86626352935305e-06,5.30340534237234e-05
"ABHD2_HUMAN",0.000474207024545654,0.00571808511672864,0.0157936266962971,6.75179249283567e-05
"ABHD3_HUMAN",0.0103241620369622,0.000127062674727309,0.0102475549238487,0.000358054207523088
"ABHD4_HUMAN",0.0124840122952446,0.00303082302059461,9.56266674734912e-05,0.00540160805423463
"ABHD5_HUMAN",0.00385189368292472,0.00928106156290317,0.00791417985869767,0.000223401637200508
"ABHD6_HUMAN",0.00766720720585582,0.0122374162990825,0.000265084777408182,0.000292658319479666
"ABHD8_HUMAN",0.019279102891563,9.61991985494087e-06,0.000369845209119875,2.61653825441061e-05
"ABI1_HUMAN",0.00671067857134656,0.00101450593743824,0.0137633345747103,3.38273505238274e-06
"ABI2_HUMAN",0.00484053991901059,0.00460768757545106,0.00598573156479656,0.00673667709471952
"ABI3_HUMAN",0.00571421928893044,0.0129242276984281,6.435076199987e-06,0.00225674982387835
"TARSH_HUMAN",0.00833527366829503,0.00870526943674674,0.00157827179766643,0.00222965094163621
"ABITM_HUMAN",0.00405883556658409,0.00260327749170033,0.0144769732580864,0.000693037568439225
"ABL1_HUMAN",0.000822043848420398,0.00117952237735451,0.00341848533481415,0.0188798722174472
"ABL2_HUMAN",0.00496594997487797,0.013131113828564,0.00169373435409979,0.00108660333082849
"ABLM2_HUMAN",0.00582312752092621,0.000195838672034128,0.0144284203712343,0.00138666759334343
"ABLM3_HUMAN",0.00442629958629223,0.000796017201559594,0.0165192640101823,0.000124319908157077
"BGAT_HUMAN",0.0132673192750041,0.00437506061346102,0.00200000653792433,0.000655600176725662
"ABR_HUMAN",0.0143791389100803,0.00236613583347378,0.00218554929707982,0.00144455918377741
"ABRA_HUMAN",0.000245644184283772,0.00650062728042652,1.42133217767703e-05,0.0169994529136835
"ABRAL_HUMAN",0.00353644676394874,9.76306181142759e-05,0.00674019994516333,0.0130028453732676
"ABRX1_HUMAN",0.00201451696420589,0.000243545539865052,7.21836130577245e-06,0.0222801200081575
"ABRX2_HUMAN",0.00408395644133872,0.00688894911331446,0.00674166417267721,0.00411511515073661
"ABT1_HUMAN",0.010888943015074,0.000136448711799466,0.00437020483868862,0.00617149033695286
"ABTB1_HUMAN",0.00100389377199993,0.00805706770991243,0.0114601981876799,0.00139824727692391
"ABTB2_HUMAN",0.00528852074115827,0.00888199056923804,0.00627185897149708,0.000692614959448377
"THIK_HUMAN",0.0143276937684385,0.00409883743452233,3.13445663576625e-08,0.00185760579032189
"THIM_HUMAN",0.0014602922114333,0.0144450534499007,0.00456063595991301,0.000802738962115512
"ACACA_HUMAN",0.00131246690522326,0.0083092838564917,0.0108762716345605,0.00134936664593299
"ACACB_HUMAN",0.000766448801055487,0.00855510463460264,0.00598229881323799,0.00720611587054001
"ACD10_HUMAN",0.0159754764642061,0.000251083970062023,0.00347004560235379,0.000515806463810219
"ACD11_HUMAN",0.00184449211766264,0.00713395214781127,0.00131484312406558,0.0127374296807979
"ACAD8_HUMAN",8.1984780351761e-05,0.014415418537224,0.00689248971715381,7.09730830433651e-06
"ACAD9_HUMAN",0.00867152420851301,0.00138888987749477,0.00311895683742528,0.00889890709933408
"ACADL_HUMAN",0.000156540162315635,0.00866946497505186,0.0123071750680381,0.000802753227802649
"ACADM_HUMAN",0.01458837900881,0.000617480258161197,0.00265963778160277,0.0027553934697492
"ACADS_HUMAN",0.000570889016249886,0.0184396898087636,0.0019422265001113,4.64598211080635e-05
"ACDSB_HUMAN",0.00137500380662242,0.000379082241995096,0.0194805574790463,0.00123870678713213
"ACADV_HUMAN",0.00849688592427883,0.00109502937910947,0.0110221334901677,0.000670912917632618
"PGCA_HUMAN",0.0128023915139987,0.00358600097900547,0.00390459391274388,8.03393994522014e-05
"ACAP2_HUMAN",0.000769678134446513,0.00484128861128026,0.00349358563599703,0.0144505174878283
"ACAP3_HUMAN",0.00801319113366667,0.00464927223926714,0.00273517891716471,0.00624136073076176
"THIL_HUMAN",0.00803994700278826,0.000312559566954362,0.00912457320673895,0.00431395682673578
"THIC_HUMAN",0.0130222214419147,0.000615879427806027,0.000917088689310026,0.00670662009325694
"GCP60_HUMAN",0.0165352089380852,0.00179219942308386,0.000861721120542817,0.000847359560831898
"ACBD4_HUMAN",0.00521055221307174,0.0150147407749949,0.000347835626706564,2.72715763135928e-06
"ACBD5_HUMAN",0.00114570777563426,0.00966494555853402,0.000454042800731101,0.011542242286245
"ACBD6_HUMAN",0.0140279867999284,0.00301959261207333,0.00316131743578107,1.99901215424713e-05
"ACBD7_HUMAN",0.00629904913431214,0.0130549867957667,0.000565272735742607,0.000726790334049489
"1A1L1_HUMAN",0.00871212509231291,0.00151196394574211,4.74117808520427e-06,0.0121685121893591
"1A1L2_HUMAN",3.82712721189313e-05,0.000306092845047671,0.0133946947861176,0.00982133290445933
"R4GNJ5_HUMAN",0.0148838372019213,0.000435892303323841,0.00055761085953559,0.00493762460177225
"ACE_HUMAN",0.00350705186677473,0.00031332503090379,0.0129989312443919,0.00580689400474104
"ACE2_HUMAN",0.00567132468546126,0.0106965894002018,0.00444591586191311,4.9643697964251e-05
"ACER1_HUMAN",0.00671334739948506,0.0106959215200345,0.00273263098747871,0.00062366193677316
"ACER2_HUMAN",0.00439375578017106,0.00224996579163415,0.0139151390456952,0.00131548921049106
"ACER3_HUMAN",0.00623680978386429,0.00259968235902081,0.00304143513424694,0.0106472629865874
"ACES_HUMAN",0.0158174191616824,0.00197733148346329,0.00217074732010338,8.58418612081532e-05
"ACINU_HUMAN",2.79775704127965e-06,0.00257501899298901,0.0197220207520634,8.23883674283865e-05
"ACKR1_HUMAN",0.000395283832943613,0.000318299154686858,7.48915045929811e-05,0.0241903567669307
"V9GYB7_HUMAN",0.000470294847313658,0.017885155032016,0.00171943829600388,0.00109192321000003
"ACKR3_HUMAN",0.00774450617224231,0.00915662155617326,0.00373604526608788,3.87742678878806e-05
"ACKR4_HUMAN",0.00226855889091983,0.00599325662747316,0.0134437919557149,5.39624103623167e-05
"ACLY_HUMAN",3.97310261954636e-05,0.00151054683238042,0.0151573720875142,0.00640393372995868
"ACMSD_HUMAN",0.00329627248726661,0.0157066880677524,0.000129691750723499,0.0018658755826665
"ACOC_HUMAN",0.00296241204331451,0.00380706395282547,0.00926616153916316,0.00645394833489084
"ACON_HUMAN",0.0069305053352225,0.000960435449418107,0.00432067260417644,0.010308090348067
"IRG1_HUMAN",0.0152914486451157,0.00400276002326932,2.0238422764794e-05,0.000715417428945931
"ACOT1_HUMAN",0.00465142654068965,0.0145141065205786,4.49163609848191e-05,0.00166032016801997
"ACO11_HUMAN",0.0121841422641901,9.44923365841462e-06,0.00429619517071317,0.00474666089715043
"ACO12_HUMAN",0.0089829698588289,0.00539862618111922,0.00244497212229508,0.00441849286970995
"ACO13_HUMAN",0.00118305829366421,0.00494210638388831,0.00980727419669261,0.00676416700665188
"ACOT2_HUMAN",0.0111342561988918,0.00345328282748856,0.000650982242705875,0.00600398236608792
"ACOT4_HUMAN",0.00748038923889637,0.00537054572344018,0.00303798478904606,0.00571776427649888
"ACOT6_HUMAN",0.000419225851623504,0.0014353418443581,1.46815165025519e-06,0.0228953248904008
"BACH_HUMAN",0.0115450262515434,7.01081050589128e-05,0.00317284012984838,0.00674453778373255
"ACOT8_HUMAN",0.00232275412064719,0.0045448986172591,0.0149698817417418,2.94853594590017e-05
"ACOT9_HUMAN",0.00135405588772086,0.0124879758980552,0.00694350522744,0.00064232751817758
"ACOX1_HUMAN",0.00376319538490019,0.0120015408226154,0.00417950244851982,0.00121995853628129
"ACOX2_HUMAN",0.000230398331492623,0.00680867691217264,0.00229282696179001,0.0141088537023465
"ACOX3_HUMAN",0.0126896096397399,0.00335859975816131,0.00311391016367738,0.00137996621523806
"ACOXL_HUMAN",0.00870925678339175,0.00551662275012392,2.08046750466751e-05,0.007328265945829
"PPAC_HUMAN",0.0149287268061262,0.00245491864541562,0.00273739465756288,1.81538283485683e-05
"PPAL_HUMAN",0.0132334836981433,0.000111855336640851,0.00385947642379003,0.00376468735832304
"PPAT_HUMAN",0.0127066272575487,0.00599039641230313,0.00115605295317459,0.000368079676802913
"PPA5_HUMAN",0.00560956995392216,0.00162276889464757,0.0069727089725459,0.00824825072751622
"PPA6_HUMAN",8.94705206065023e-05,0.019749166820886,0.0011034466608816,2.0143500911731e-05
"ACP7_HUMAN",0.0115358163966232,0.00415926348773306,0.00300672815377408,0.00201358018951726
"ACRO_HUMAN",0.00496049957698682,0.00140645189519617,0.0149653694611939,0.000435286322062396
"ACRBP_HUMAN",1.29583491291439e-05,0.000110025732671111,0.000278205628695842,0.024704918279911
"ASPX_HUMAN",0.0144979654193907,2.4487699937649e-05,0.000168933276963589,0.00636114415358115
"ACBG2_HUMAN",0.00172952585042198,0.000491432500918207,0.0152530055204714,0.00535933215564873
"ACSF2_HUMAN",0.00235352670401756,0.00906236202707337,0.010051304743642,2.64826946443757e-05
"ACSF3_HUMAN",0.00388675087408614,0.00051956016560556,0.00536128148381991,0.0135817549856715
"ACSL1_HUMAN",0.000540317911756133,0.014025831002197,0.000772210518779531,0.00670847527205615
"ACSL3_HUMAN",0.0156149068313986,0.000853320081719962,0.00225689541049206,0.00160400614285001
"ACSL4_HUMAN",0.0116343006822714,0.00174733438820542,0.0012242891836022,0.00678000968769262
"ACSL5_HUMAN",0.00503697725502632,0.006178804957589,0.000452073609150704,0.01075729969725
"ACSL6_HUMAN",0.000800789448030196,0.00994059885082878,0.000147417560150992,0.0119938619495177
"ACSM1_HUMAN",0.00372570328233984,0.0059895128543442,0.0103876471443096,0.0015957968389115
"ACS2A_HUMAN",0.00492436639494163,0.00171283944904758,0.00725256291663388,0.00870625905001234
"ACSM3_HUMAN",0.00718804275571236,0.00112819334230912,0.0115489290881759,0.00172180411592196
"ACSM4_HUMAN",0.00687372208499068,0.0128776951387379,0.000709521851647555,4.30331155576507e-05
"ACSM5_HUMAN",0.00603531189473255,0.0017921183377634,0.000537596633031465,0.0146686297744677
"ACSM6_HUMAN",0.00258840235662302,0.00870172627325662,0.000423131446723502,0.0108880447080251
"ACS2L_HUMAN",0.00073748298127448,0.00678596324712414,0.00430626816771649,0.0112427370854876
"ACSA_HUMAN",0.00113230554445294,0.0183526721068483,6.33298795266113e-05,0.00152516729295503
"ACSS3_HUMAN",0.00709919926966219,0.00618513191245339,0.00388964250847843,0.00427581206997115
"ACTS_HUMAN",0.00300892821668365,0.00931868389993511,0.00728175081369472,0.00196335140130721
"ACTA_HUMAN",0.00234415630537883,0.0131869879431231,0.000371733007017977,0.00585321798812655
"ACTC_HUMAN",0.00830896823657756,0.00124959331901579,0.00204231641055252,0.0107311720418199
"ACTH_HUMAN",0.000250971353878499,0.0132663123828136,0.00505582053050322,0.00322174258573946
"ACL10_HUMAN",0.00204976873623141,0.00328726070197237,0.0160609576622847,0.000679298006956151
"ACL6A_HUMAN",0.000641602804476642,0.000124340973141779,0.00522758192217225,0.0183670256416207
"ACL6B_HUMAN",0.00327915010480325,0.00623606589196427,0.00735151919563507,0.0052540812543629
"ACL7A_HUMAN",0.0026239949576717,0.000532624865953177,0.0172315850401194,0.00195845069329699
"ACL7B_HUMAN",0.00867152420851301,0.00138888987749477,0.00311895683742528,0.00889890709933408
"ACTL8_HUMAN",0.00944490454586765,0.00587624198256772,0.00482060946446859,0.000603734811420456
"ACTL9_HUMAN",0.000947130075050558,0.000179635106479219,0.00910802394924971,0.0135850037119632
"ACTN1_HUMAN",0.018842183020566,0.00061281933848741,1.10993710522024e-05,0.000259071534493163
"ACTN2_HUMAN",0.00240349654760006,0.00488332620372213,0.0133938907231928,0.00127416494807743
"ACTN3_HUMAN",0.00802712100269686,0.00677088366013159,0.000225521832870762,0.00646309287908064
"ACTN4_HUMAN",0.00445021730272599,0.0120213942146428,0.00368270865217028,0.000868871634496895
"ARP10_HUMAN",0.00297862545616682,0.00933507932993179,0.00248788423642627,0.00732393429867122
"ACTZ_HUMAN",0.0128354397056156,0.00132959800815011,0.0015936445844854,0.00533211265437494
"ACTY_HUMAN",0.000125653001570819,0.0206345807898316,2.71222001477281e-05,0.000106024527446001
"ARP2_HUMAN",0.0155111947599254,0.00282883378688422,0.000503857431114768,0.00130955679232392
"ARP3_HUMAN",0.000665409751403841,0.0132359258633303,0.00503526904896484,0.0027499840297967
"ARP3B_HUMAN",0.00108829054425339,0.00801658992092523,0.000375266075536558,0.0136900599928481
"ARP5_HUMAN",0.000389732195541006,0.00642447662057456,0.0151043665175808,9.25316436460001e-05
"ARP6_HUMAN",0.00460472897906921,0.00674039326837142,8.41396146589227e-06,0.0111289768588647
"ARP8_HUMAN",0.011310982684882,0.00138901808917599,0.0071889791325167,0.00098021708315902
"ACTT1_HUMAN",0.00638408388879791,0.0048203593904985,0.00673701739285931,0.00366457761402047
"ACTT2_HUMAN",0.0035052464262926,0.000234684323545814,0.000593953946641618,0.0197260421864438
"ACTT3_HUMAN",0.0125918287828803,0.00466356081422154,0.00305023820197118,3.64699927085712e-06
"ACVR1_HUMAN",0.00124290306528739,0.0106081339254543,0.00923211490657466,0.00050016919420425
"ACV1B_HUMAN",0.000618778618489492,0.00211873882291273,0.00394052871201527,0.0174269105309727
"ACV1C_HUMAN",0.000232772816132202,0.0150487089709737,0.00395861171488474,0.00231964970850685
"AVR2A_HUMAN",0.00593956148120403,0.00239193279907336,0.00480137789837113,0.0093176805206332
"AVR2B_HUMAN",0.000589785275293823,0.00809581959582298,0.00641201941369659,0.00750725999193555
"ACVL1_HUMAN",6.86573909109844e-05,0.0131216530710577,0.00633589312421201,0.00220348162531586
"ACY1_HUMAN",0.00269518639258608,0.00849293171223129,0.00572331511873336,0.00509712328963621
"ACY3_HUMAN",0.00112652322556047,0.00189602369410063,0.00090496559085208,0.0204267490468217
"ACYP1_HUMAN",0.000262370243868055,0.0112502251295013,0.010053286082653,6.83695424091382e-05
"ACYP2_HUMAN",0.00474359628378939,0.00323420004883975,0.0112729763048513,0.00262490964301964
"ADA_HUMAN",8.18406925140488e-09,0.0112416280155122,0.0104055868304364,2.25110264863473e-05
"ADA2_HUMAN",0.00464123637555366,0.01459668408625,0.000550513621411034,0.00101051438409198
"ADAD1_HUMAN",1.69834968084551e-05,0.0112437338627987,0.00701772321260109,0.00377308952538534
"ADAD2_HUMAN",4.08665371223418e-05,0.00520807530894837,0.0168353644809915,7.6898616607437e-05
"ADAL_HUMAN",0.00977775606252228,0.00131509447773109,0.00917055964142128,0.00082682858774779
"ADA10_HUMAN",0.00182560883296808,0.00292343688094462,0.003525688638622,0.0153723372321831
"ADA11_HUMAN",4.3389385031003e-05,0.00352072019319858,0.0138794460052019,0.00540068925459579
"ADA12_HUMAN",0.00373921511576947,0.00778910034760706,0.000116436561214774,0.0108543336534009
"ADA15_HUMAN",0.0038687025339114,0.0125422112695416,0.000762023806455582,0.00424101887353121
"ADA17_HUMAN",0.0155202003378934,0.00113069390804214,0.00332681986603998,0.000199000718659675
"ADA18_HUMAN",0.00312333300488198,0.0052302114859428,0.00967127160667829,0.00408123392822821
"ADA19_HUMAN",0.00308760141435362,5.66748085133442e-05,0.00420611109439622,0.0164511561367463
"ADAM2_HUMAN",0.00867152420851301,0.00138888987749477,0.00311895683742528,0.00889890709933408
"ADA21_HUMAN",0.00272074284011549,6.70767346530458e-05,0.0173130690564883,0.00230466859529606
"ADA22_HUMAN",0.0130156209938701,0.000830249868842043,0.00604417518099825,0.00074396219487584
"ADA23_HUMAN",0.000779261926806867,0.00373496610483345,0.0174487088089702,0.000222173057377906
"A0A384NKT9_HUMAN",5.40383952626156e-05,0.00220242701676969,0.000172341709235703,0.0222486560967993
"ADA29_HUMAN",0.00509374954548472,0.0103123513988383,0.00527930481299419,0.000324503283504882
"ADA30_HUMAN",0.00036185884424836,0.0136081337554213,0.00616087618266099,0.00143637192438435
"ADA32_HUMAN",0.0151422477287434,7.4107416701474e-05,0.000746744097125784,0.00483161210949906
"ADA33_HUMAN",0.000512971521776347,0.000820117323905671,0.0173465864403086,0.00419001603250158
"ADAM7_HUMAN",0.00327780620626032,0.00528401141321895,0.0125695356330251,0.000589029211347884
"ADAM8_HUMAN",0.00183139566150718,0.000408008300723447,0.0119867792547614,0.00896862260079996
"ADAM9_HUMAN",0.00644459723291744,0.012198644009387,6.32537276307826e-07,0.00220133235126433
"ADEC1_HUMAN",0.0160217124296655,0.000429111762576572,0.000688232068272984,0.00334158877574828
"ATS1_HUMAN",0.00102788666027857,0.00451084205728062,0.0136571649837938,0.0031931180591697
"ATS10_HUMAN",0.0066846633611609,0.00563272833337864,9.78614923409691e-05,0.00969785293433061
"ATS12_HUMAN",0.00318219790534359,0.000874047234362831,0.0080454046021749,0.0110669970762905
"ATS13_HUMAN",0.0113588831751046,0.00800707152561627,0.000367980798874906,0.000543576368227407
"ATS14_HUMAN",0.00220061578254456,0.0007257692290133,0.0190284367826097,0.000266314248915342
"ATS15_HUMAN",0.00867152420851301,0.00138888987749477,0.00311895683742528,0.00889890709933408
"ATS16_HUMAN",0.0124780687457045,0.0010820381938493,0.00595464420618893,0.00122938865376244
"ATS18_HUMAN",0.00344743425359699,0.0110878159778294,0.000170202661356952,0.00719317438332004
"ATS19_HUMAN",0.00524098478019342,0.00169237346400748,0.00578132467536531,0.00996434900296797
"ATS2_HUMAN",0.00946816891323313,0.00929058367673138,0.00146713785451504,0.000195836227318516
"ATS20_HUMAN",0.0103484774891353,0.00419347855857637,0.00549549134722888,0.000721352470355643
"ATS3_HUMAN",0.000169821275943717,0.00566903717287198,0.0160004792445511,0.000286341308443153
"ATS4_HUMAN",0.00469739997424701,0.010424015623242,0.00543498195466397,0.000524563669454603
"ATS5_HUMAN",0.000354131495978289,0.0182826115749016,0.0022812681150738,0.000135848736908501
"ATS6_HUMAN",0.0107257860620635,0.00270237324592954,0.00412886787186947,0.00355734828222121
"ATS7_HUMAN",0.0028729388939282,0.00194277440631682,0.00669622839152653,0.0116788160856805
"ATS8_HUMAN",0.0111642839664222,0.00463646674537574,0.00399706817295533,0.000811304124308179
"ATS9_HUMAN",0.000897223813878427,0.000253594023782,0.000736509407538913,0.0228876884718022
"ATL1_HUMAN",0.000925052134361476,0.00105761050939629,0.0012629653902312,0.0212964966236347
"ATL2_HUMAN",0.000104697925310935,0.0196162172999823,0.00123521942691459,1.40151388586047e-05
"ATL3_HUMAN",0.00244792605118314,0.00922653644666842,0.00786837365763656,0.00213992220370937
"ATL4_HUMAN",0.0028729388939282,0.00194277440631682,0.00669622839152653,0.0116788160856805
"ATL5_HUMAN",3.97792916588041e-05,0.00975266483664881,0.00322920786352539,0.00976205583518662
"ADAP1_HUMAN",0.00256648779846702,0.00581176653908564,0.00341443554134167,0.0110658187221424
"ADAP2_HUMAN",4.52487708952492e-05,0.0076163040731454,0.00751040724222433,0.00755931479273742
