"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"A1BG_HUMAN",0.0143558689161292,0.00650525623556691,0.00184166846566302,0.000651854822903518,0.00581239373635784
"A1CF_HUMAN",0.00219516806359678,0.000863107235428666,0.000180208058204374,0.0043769237185785,0.000701789962801211
"A2MG_HUMAN",0.00714119297046303,0.000785305704527514,0.0255148815679398,0.000179114530762061,0.000626886112731608
"A2ML1_HUMAN",0.0031599036029633,0.000399590337045686,0.00115538628927662,0.000274494176665868,0.0444324789579747
"A3LT2_HUMAN",0.000610589734875206,0.00445430185120463,1.30413731752221e-07,0.00336716621326499,0.000394347845663102
"A4GAT_HUMAN",0.00613858526471594,0.000441142414966843,0.00105811011851292,0.00466504568614987,0.0014843806364115
"A4GCT_HUMAN",0.00108349181210016,0.000434598929511053,0.00609135165599916,8.85533558371755e-05,6.43438889328242e-06
"AAAS_HUMAN",0.00130652322012765,0.00596338194271507,0.00111991783334451,2.48421904391236e-05,0.00308518918729438
"AACS_HUMAN",0.0015553918070921,2.24608935264385e-06,0.0121515258788891,0.0105903706684269,0.0261126619511172
"AAAD_HUMAN",0.0107667121551654,0.000477852738778788,3.60035644598531e-05,0.00355718935062844,0.00532910816223594
"ADCL2_HUMAN",0.000895913112628807,0.00115291521390673,0.000992115481680807,0.0272434089110778,0.00941987829701407
"ADCL3_HUMAN",0.00595910011286116,0.000531273989552308,0.000325876689106812,0.0333387694988333,0.00701950070050213
"ADCL4_HUMAN",0.00128041392004171,0.00387037066011807,0.021279907011856,0.000817925930088857,0.000876241668897246
"AADAT_HUMAN",0.00181478810127141,0.00211752488811032,0.020205821541072,0.000769195781683831,0.0156310021889567
"AAGAB_HUMAN",0.0136746729387659,0.00365624577418393,1.6935864031729e-07,0.000107953752974668,4.88013509066964e-06
"AAK1_HUMAN",0.00708659657897232,0.00459818302350133,0.0139904900046439,0.00679045559518234,0.0116103624802533
"AAMDC_HUMAN",0.00104761514375505,0.00228212919999242,0.00917709802721105,0.00572630308273808,0.00893210741668338
"AAMP_HUMAN",0.0284316292765946,1.68610561651376e-05,0.00274908282683382,0.00315331327450546,0.00100700955133745
"SNAT_HUMAN",2.69009614511261e-06,0.00115081658752184,2.33234349368018e-05,0.0112186251973568,0.00232981152330818
"AAR2_HUMAN",0.00180030127572231,0.00150470979412425,0.00762803853775998,0.000273462641061469,0.00703334110610571
"AARD_HUMAN",9.01997535195621e-06,0.00740096720373106,0.00852401596565736,0.000614728696666697,5.02146120340173e-08
"SYAC_HUMAN",0.00900195588461868,0.00142618419919572,8.5162712915938e-05,0.00164228459196484,0.0112483941602118
"SYAM_HUMAN",0.00634616609729702,0.00230081047205361,0.0104824869886103,0.000324313765722469,3.09256063365322e-08
"AASD1_HUMAN",0.00191350467637418,0.000440409903084659,3.1031497759008e-06,0.000298675673578801,0.0097252758663195
"ACSF4_HUMAN",0.0165112031802079,0.00381019638427362,0.00119111893926964,0.000593793826005154,1.36522294348251e-05
"ADPPT_HUMAN",4.55510915353393e-07,0.0132423235343391,0.0095610138628712,0.00202095758058955,0.00189491819419665
"AASS_HUMAN",0.000363452972350034,0.0122987904961091,8.19086647006967e-05,0.00087020740081736,0.00101443403250713
"AATF_HUMAN",8.42754941353526e-05,0.00190099357811408,0.00443109643093342,0.0018626212772372,0.00402727203621099
"LMTK1_HUMAN",0.00725462881314074,0.0151240772237748,0.00926382302808775,0.0107027152127834,0.00414180492278016
"GABT_HUMAN",0.00456187148292843,0.00636161564356523,7.69768302230223e-05,0.00276639744810067,0.0139076063771729
"ABCA1_HUMAN",0.00748552353025769,0.0249550249489385,0.00188123127467895,0.00258059596749391,0.000864912627139453
"ABCAA_HUMAN",0.000160899385619128,0.00381014842913873,0.0283574416721899,0.00112614396782653,0.0112341748204247
"ABCAC_HUMAN",0.000259210763394187,0.0462416305311456,0.000705536016608841,0.00413734719719401,0.00113137311836852
"ABCAD_HUMAN",0.00180428736991977,0.000738853933360387,0.00500655324555274,2.55559191825029e-06,0.00171053825809255
"ABCA2_HUMAN",0.00440347840368548,0.00647234840068601,0.0235569303228813,0.000303207480235203,0.00281460784674651
"ABCA3_HUMAN",0.00150528052961806,0.00804407014568393,0.0123861422855706,0.0154504311968634,2.29039833006937e-05
"ABCA4_HUMAN",0.000557559057779017,3.24885180469439e-06,0.0203238907535171,6.74461705440479e-05,0.00860779517904113
"ABCA5_HUMAN",4.12969019148836e-05,0.00164233190277536,0.00289230951934652,9.12026864768179e-05,0.0104791787412605
"ABCA6_HUMAN",0.00203859115021227,0.00208521550624914,0.00601258764064773,0.0141329118653232,0.000158405643653401
"ABCA7_HUMAN",0.00763887003743278,0.000204728197145617,0.000383347405430312,0.000149075000935441,0.00715028973348237
"ABCA8_HUMAN",0.000628346858346552,0.00815563109833333,0.000542479995526548,0.00673497832608562,0.000138004612585393
"ABCA9_HUMAN",0.014873661771203,0.00275536435054411,0.00934019590574817,0.00337567781433881,0.00136413602144601
"MDR1_HUMAN",0.00514744551859157,0.000980522581804101,0.00087625563105187,0.000320115529686596,0.0217223250009904
"ABCBA_HUMAN",0.00184185083786558,0.000152254220944032,1.75445966785344e-05,0.00427428651466483,0.00195356482837302
"ABCBB_HUMAN",0.00292469601020038,0.00815140969244933,3.63563252375347e-05,3.05458309383624e-05,0.0123024914255279
"MDR3_HUMAN",0.000237080480985673,0.0224553213773238,0.00192190712003113,7.89873285146371e-05,0.00273371079140076
"ABCB5_HUMAN",0.0176776116223224,0.00158257029773301,0.010664017378129,0.00281611259722148,0.00122654188537353
"ABCB6_HUMAN",0.00366820662358217,0.0131928459948133,0.00193022599886498,0.00518495529161812,0.000772794605193439
"ABCB7_HUMAN",0.00351009041886993,0.00238265178491758,0.00438259576993695,0.00752284783323153,0.000361404795085331
"MITOS_HUMAN",0.00324717733750175,0.00026915003849373,8.58744530571948e-06,0.00305961467051228,0.00106815590410545
"ABCB9_HUMAN",0.0170581233761529,0.000332254751728407,0.0122760373152914,5.20407439333654e-05,0.00669403492308224
"MRP1_HUMAN",0.0104229010823981,0.00246448960611055,0.0207051506211599,0.0107077052453631,0.0026342741074435
"MRP7_HUMAN",0.00116841296180767,0.00857117887181374,0.00729763983691081,0.0114793075623555,0.000338805310438498
"MRP8_HUMAN",0.000583270171982727,9.07824909547111e-06,0.000213967099703864,0.0228627950262478,0.000536128244946032
"MRP9_HUMAN",0.0050427763054092,7.13100919116282e-05,0.00322127252212839,0.00472042274985627,7.05169209661959e-06
"MRP2_HUMAN",0.0076984528336324,0.00185184396418598,0.0180655004379154,0.000422108032641199,3.24105747764528e-05
"MRP3_HUMAN",0.0143910033409621,0.00107792095145872,4.13187957342937e-05,5.77848255043224e-05,0.000505684532422698
"MRP4_HUMAN",2.24309729042189e-05,0.00145312753082044,0.00453713232028272,0.0187645703356711,0.000858936569150537
"MRP5_HUMAN",0.000208992658871014,0.00256203656910836,0.00154601347439489,0.0270020736885451,0.0256218304001859
"MRP6_HUMAN",5.68083881953493e-05,0.0266860268755158,0.00562877855587215,1.72630169053192e-05,0.00323634950059176
"ABCC8_HUMAN",1.0773735519149e-05,0.000558190488275826,0.000892709161117925,0.00147551955244892,0.060547697637164
"ABCC9_HUMAN",0.00649577412756643,0.0188227024808876,0.00530965289750402,0.0222782213981753,0.00320535716005882
"ABCD1_HUMAN",0.0035835420100472,4.13534107659148e-06,0.000272377008257239,0.00230187054880588,0.000595114307469466
"ABCD2_HUMAN",0.000201586477753635,0.0113355784078287,0.00557108739675265,0.00219582466971622,0.000298190713152758
"ABCD3_HUMAN",7.6759434778662e-05,0.000418011908426455,0.00700552799570055,0.00272272076012528,0.000117274973001319
"ABCD4_HUMAN",0.00711031437094214,7.91490386305504e-05,0.00381574646460546,0.00389952650189147,0.00150517264639453
"ABCE1_HUMAN",0.0104323194436282,0.000491671798649783,0.0062770125448145,0.00329038754706687,0.000728604555860216
"ABCF1_HUMAN",0.00385482820443446,0.000243815675287694,0.0114730485900204,0.000424707056638967,0.0020397314348768
"ABCF2_HUMAN",0.00153140698030131,0.00286444576480482,0.00971025288882304,0.000112979994681078,0.0173222404324381
"ABCF3_HUMAN",0.000444641912536431,0.00261994632202484,0.00079837872755528,0.000746347878045055,0.00419761075028536
"ABCG1_HUMAN",0.000313253171487156,0.00288123599512412,0.00427155371974713,0.00652738818160774,0.000381579254153677
"ABCG2_HUMAN",0.0029322424127527,0.0187978020979583,0.000513815712446073,1.65511715883213e-08,0.000745593608994376
"ABCG4_HUMAN",0.00171771648407989,0.000385909095986863,0.000354336599467183,0.00697189290747988,0.0030141553083714
"ABCG5_HUMAN",0.0114002295850761,0.00121791812530097,0.00448739984371126,0.00050545575479815,0.00492122672230691
"ABCG8_HUMAN",0.000493743041944267,0.0203706930982365,3.75415631676349e-05,0.00110575765175163,0.000286599351062617
"ABHD1_HUMAN",0.0040522507494332,0.00862557485470549,0.000100384813507066,2.50076829322382e-06,0.00252500260671307
"ABHDA_HUMAN",0.0109443125635648,0.00362131572099121,5.53926032035355e-06,0.00330381601285095,0.00146070872646043
"ABHDB_HUMAN",0.00251726449693363,2.29276410613789e-06,0.0192411403369352,0.0148808842964399,0.000651275961924571
"ABD12_HUMAN",0.00376625246830452,0.0038694862402127,0.00040069805668821,0.0106303480747207,0.021871733696345
"AB12B_HUMAN",5.30975953159013e-06,8.7604194268344e-05,0.00425981164694738,0.00468994715893894,1.41840264439725e-05
