"","IDs","Slide_20.B.00423_Glo_ROI_1","Slide_20.B.00423_Glo_ROI_2","Slide_20.B.00423_Glo_ROI_3","Z_scores_Slide_20.B.00423_Glo_ROI_1","Z_scores_Slide_20.B.00423_Glo_ROI_2","Z_scores_Slide_20.B.00423_Glo_ROI_3","hclust_clusters"
"ABCA5_HUMAN","ABCA5@ABCA5_HUMAN",3.65535182861255,3.15380533607904,3.36457243229586,1.04873802100248,-0.942832177910098,-0.105905843092379,4
"ABCA6_HUMAN","ABCA6@ABCA6_HUMAN",3.54843662469604,2.98185265328974,3.82781902461732,0.222103876417894,-1.09237879561177,0.87027491919388,1
"ABCA7_HUMAN","ABCA7@ABCA7_HUMAN",2.43295940727611,3.67807190511264,2.94485844580754,-0.935836289082639,1.05371489259223,-0.117878603509594,2
"ABCA8_HUMAN","ABCA8@ABCA8_HUMAN",2.84799690655495,3.29278174922785,3.95419631038688,-0.928804712510523,-0.129728399146008,1.05853311165653,1
"ABCA9_HUMAN","ABCA9@ABCA9_HUMAN",2.84799690655495,3.0703893278914,4.27798474729977,-0.715798169002797,-0.426782211273633,1.14258038027643,1
"MDR1_HUMAN","ABCB1@MDR1_HUMAN",3.30742852519225,4.06177619758669,3.53605290024021,-0.847093318254659,1.10312349998216,-0.256030181727503,2
"ABCBA_HUMAN","ABCB10@ABCBA_HUMAN",3.84799690655495,3.78659636189081,3.68929916053589,0.916816639975659,0.149527068435819,-1.06634370841147,3
"ABCBB_HUMAN","ABCB11@ABCBB_HUMAN",3.43295940727611,3.15380533607904,3.53605290024021,0.296748907622572,-1.11478795970232,0.818039052079753,1
"MDR3_HUMAN","ABCB4@MDR3_HUMAN",2.65535182861255,2.29278174922785,2.70043971814109,0.473531071050826,-1.14881062408304,0.675279553032216,1
"ABCB5_HUMAN","ABCB5@ABCB5_HUMAN",3.54843662469604,3.29278174922785,4.4594316186373,-0.356220201831836,-0.773115621957031,1.12933582378887,1
"ABCB6_HUMAN","ABCB6@ABCB6_HUMAN",2.65535182861255,3.29278174922785,3.68929916053589,-1.06804680555895,0.153948389326214,0.914098416232734,2
"ABCB7_HUMAN","ABCB7@ABCB7_HUMAN",3.01792190799726,3.43295940727611,2.94485844580754,-0.432998080016039,1.14352897319617,-0.710530893180126,3
"MITOS_HUMAN","ABCB8@MITOS_HUMAN",2.65535182861255,2.29278174922785,3.16992500144231,-0.114954972489584,-0.937554681941211,1.0525096544308,1
"ABCB9_HUMAN","ABCB9@ABCB9_HUMAN",4.16992500144231,3.29278174922785,3.82781902461732,0.919299008364382,-1.06476684810418,0.145467839739794,4
"MRP1_HUMAN","ABCC1@MRP1_HUMAN",-0.15200309344505,-1,0.37851162325373,0.152199046390859,-1.06737475627063,0.915175709879767,1
"MRP7_HUMAN","ABCC10@MRP7_HUMAN",2.65535182861255,3.15380533607904,3.53605290024021,-1.04096619000214,0.0877105872625127,0.953255602739628,2
"MRP8_HUMAN","ABCC11@MRP8_HUMAN",3.01792190799726,3.29278174922785,3.16992500144231,-1.03341200575126,0.962850284220652,0.0705617215306065,2
"MRP9_HUMAN","ABCC12@MRP9_HUMAN",3.54843662469604,3.15380533607904,4.27798474729977,-0.195739667260252,-0.887657683487298,1.08339735074755,1
"MRP2_HUMAN","ABCC2@MRP2_HUMAN",3.16992500144231,3.88752527074159,3.53605290024021,-1.00673767422075,0.993123307716257,0.0136143665044897,2
"MRP3_HUMAN","ABCC3@MRP3_HUMAN",4.01792190799726,3.97269265400426,4.17791779219584,-0.354781849014142,-0.77423787902274,1.12901972803688,1
"MRP4_HUMAN","ABCC4@MRP4_HUMAN",3.30742852519225,2.29278174922785,3.68929916053589,0.292239000376097,-1.11356318071647,0.821324180340376,1
"MRP5_HUMAN","ABCC5@MRP5_HUMAN",3.43295940727611,3.36457243229586,3.53605290024021,-0.134017088185748,-0.926233402794019,1.06025049097976,1
"MRP6_HUMAN","ABCC6@MRP6_HUMAN",3.43295940727611,3.97269265400426,3.68929916053589,-0.982880421003487,1.01628262352303,-0.0334022025195398,2
"ABCC8_HUMAN","ABCC8@ABCC8_HUMAN",3.16992500144231,3.36457243229586,3.53605290024021,-1.02041117343525,0.0421556130541468,0.978255560381097,2
"ABCC9_HUMAN","ABCC9@ABCC9_HUMAN",3.43295940727611,3.21723071622067,4.68929916053589,-0.436328491146369,-0.707693781264866,1.14402227241124,1
"ABCD1_HUMAN","ABCD1@ABCD1_HUMAN",4.09592441999854,4.01792190799726,3.68929916053589,0.748570715248838,0.387115596672251,-1.13568631192109,3
"ABCD2_HUMAN","ABCD2@ABCD2_HUMAN",2.84799690655495,3.67807190511264,3.68929916053589,-1.15462239093677,0.56567716088933,0.588945230047444,2
"ABCD3_HUMAN","ABCD3@ABCD3_HUMAN",3.01792190799726,3.43295940727611,3.95419631038688,-0.960134165752181,-0.0754568030338865,1.03559096878607,2
"ABCD4_HUMAN","ABCD4@ABCD4_HUMAN",3.01792190799726,3.29278174922785,3.95419631038688,-0.838875568475881,-0.267741839631031,1.10661740810691,1
"ABCE1_HUMAN","ABCE1@ABCE1_HUMAN",4.09592441999854,3.83794324189103,4.17791779219584,0.330648893729736,-1.12344942921659,0.792800535486845,1
"ABCF1_HUMAN","ABCF1@ABCF1_HUMAN",4.43295940727611,4.14567745519564,3.82781902461732,0.982739285452918,0.0336709486763541,-1.01641023412927,3
"ABCF2_HUMAN","ABCF2@ABCF2_HUMAN",3.75488750216347,3.49825086752783,3.68929916053589,0.805573858278758,-1.11922818223932,0.313654323960554,4
"ABCF3_HUMAN","ABCF3@ABCF3_HUMAN",4.24031432933371,3.88752527074159,3.95419631038688,1.13628963183574,-0.746005447978325,-0.39028418385742,4
"ABCG1_HUMAN","ABCG1@ABCG1_HUMAN",2.65535182861255,3.49825086752783,3.53605290024021,-1.15386829913675,0.538974155028798,0.614894144107954,2
"ABCG2_HUMAN","ABCG2@ABCG2_HUMAN",3.16992500144231,2.13750352374994,3.36457243229586,0.423452108933998,-1.14205730385052,0.718605194916527,1
"ABCG4_HUMAN","ABCG4@ABCG4_HUMAN",3.84799690655495,3.0703893278914,2.70043971814109,1.09560721155768,-0.231997290947903,-0.86360992060978,4
"ABCG5_HUMAN","ABCG5@ABCG5_HUMAN",3.30742852519225,3.0703893278914,4.0703893278914,-0.335489626203067,-0.789117263183546,1.12460688938661,1
"ABCG8_HUMAN","ABCG8@ABCG8_HUMAN",2.84799690655495,2.67807190511264,3.36457243229586,-0.323181397598244,-0.798443330902344,1.12162472850059,1
"ABHD1_HUMAN","ABHD1@ABHD1_HUMAN",2.65535182861255,2.67807190511264,3.16992500144231,-0.6159806179692,-0.537838224888969,1.15381884285817,1
"ABHDA_HUMAN","ABHD10@ABHDA_HUMAN",4.09592441999854,3.49825086752783,4.53605290024021,0.100817832004125,-1.04659003586054,0.945772203856415,1
"ABHDB_HUMAN","ABHD11@ABHDB_HUMAN",1.84799690655495,3.43295940727611,3.36457243229586,-1.15385937871392,0.615092506541332,0.538766872172586,2
"ABD12_HUMAN","ABHD12@ABD12_HUMAN",3.75488750216347,3.92599941855622,3.95419631038688,-1.14479324432178,0.441681967984676,0.703111276337105,2
"AB12B_HUMAN","ABHD12B@AB12B_HUMAN",2.65535182861255,2.67807190511264,3.16992500144231,-0.6159806179692,-0.537838224888969,1.15381884285817,1
"ABHDD_HUMAN","ABHD13@ABHDD_HUMAN",2.65535182861255,2.67807190511264,2.94485844580754,-0.64647501491975,-0.505347154064449,1.1518221689842,1
"ABHEA_HUMAN","ABHD14A@ABHEA_HUMAN",3.30742852519225,3.43295940727611,2.70043971814109,0.409670906646113,0.730112305209908,-1.13978321185602,3
"ABHEB_HUMAN","ABHD14B@ABHEB_HUMAN",4.49185309632967,4.10433665981474,3.53605290024021,0.93142156994478,0.125339461860485,-1.05676103180526,3
"ABH15_HUMAN","ABHD15@ABH15_HUMAN",2.84799690655495,1,3.16992500144231,0.434409880226994,-1.14373936579388,0.709329485566886,1
"ABHGA_HUMAN","ABHD16A@ABHGA_HUMAN",5.27052894238072,4.70597790168252,4.4594316186373,1.10278916663965,-0.254928665452896,-0.847860501186747,4
"ABHGB_HUMAN","ABHD16B@ABHGB_HUMAN",2.65535182861255,2.88752527074159,3.36457243229586,-0.867834663005268,-0.225739585587531,1.0935742485928,1
"AB17A_HUMAN","ABHD17A@AB17A_HUMAN",4.88752527074159,5.10433665981474,4.76022094646651,-0.17148212580436,1.07465228763229,-0.903170161827934,3
"AB17B_HUMAN","ABHD17B@AB17B_HUMAN",2.16992500144231,2.98185265328974,4.17791779219584,-0.93057305651359,-0.126765276797642,1.05733833331123,1
"AB17C_HUMAN","ABHD17C@AB17C_HUMAN",2.84799690655495,3.56071495447448,2.94485844580754,-0.698083979346954,1.14560276471474,-0.447518785367787,2
"ABD18_HUMAN","ABHD18@ABD18_HUMAN",2.65535182861255,3.88752527074159,3.53605290024021,-1.10956345873992,0.831642160403062,0.277921298336853,2
"ABHD2_HUMAN","ABHD2@ABHD2_HUMAN",4.30742852519225,4.22496636500027,4.61470984411521,-0.364857196599132,-0.766338717519949,1.13119591411908,1
"ABHD3_HUMAN","ABHD3@ABHD3_HUMAN",3.43295940727611,4.10433665981474,4.17791779219584,-1.15005395659592,0.485405983611748,0.664647972984176,2
