"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"A1BG_HUMAN",0.0086757901814391,0.00769292295543947,0.000359552238070665,0.00590340527220207,0.00809856922775371
"A1CF_HUMAN",0.0161486595386312,0.000124064571208666,0.0028273604753881,0.000677998245735785,0.00722558413869112
"A2MG_HUMAN",1.61255858678226e-06,0.00868017845482932,0.0107934653798788,0.000827682704245102,0.000600226829420917
"A2ML1_HUMAN",0.000300731627620444,0.0037711807519929,0.0044760749218148,0.0200593379705001,9.00354144632889e-06
"A3LT2_HUMAN",0.00335793594105394,0.000302268886805735,2.40603044336775e-05,0.00397630611609343,0.00552099156355032
"A4GAT_HUMAN",0.00679604355314591,0.00223876193640245,0.00670080892133335,0.0259663693165047,0.00120535122081169
"A4GCT_HUMAN",2.56574097717783e-05,0.000931822858734648,0.018321630780105,0.0216591837922542,0.00475741805377144
"AAAS_HUMAN",0.000579990799267279,0.0013915455225654,0.00633375791670711,0.004947280594914,0.0038277427988833
"AACS_HUMAN",0.000942637981883833,0.00242785763894658,0.00411344880886845,0.000899911478306491,0.000696765634377732
"AAAD_HUMAN",0.000551048603438283,0.0122889058701511,0.0143422589024601,2.89882370612624e-05,0.00846419910536522
"ADCL2_HUMAN",0.00427003343759172,0.00106265294147532,0.0231759369124488,0.00831972269768449,0.00725119207453002
"ADCL3_HUMAN",0.0115640456460163,0.00605143593250999,0.000119522125113416,0.0127261972494582,1.53522008274964e-05
"ADCL4_HUMAN",0.0173998423254784,9.89075932515354e-05,0.00518009654940043,0.00070869423897841,0.000637203106174495
"AADAT_HUMAN",0.0146343810010377,0.000411849006295077,4.6398399507509e-05,0.00146329484016728,0.0146926690576871
"AAGAB_HUMAN",9.62332534518934e-05,0.0144742417567686,0.000116956366131958,0.000170771335686961,0.0237016402548738
"AAK1_HUMAN",0.0107337788302353,0.0025101768679569,0.000160539547874153,0.00384507576328521,0.0342653511246885
"AAMDC_HUMAN",7.31446681140714e-05,0.00105850725300745,0.00638535093389374,2.00051950886077e-05,0.00234053314797608
"AAMP_HUMAN",0.00791414346292487,0.0346701408432254,0.00441948838211128,0.000389593440579559,0.00564260176577667
"SNAT_HUMAN",0.000396629890246757,6.94312766129709e-05,0.00251835449245479,0.000291230193704684,1.90319907559988e-05
"AAR2_HUMAN",0.000120154403302388,0.00100206074272096,0.000853512022572898,0.0354839491666444,0.0236258615636792
"AARD_HUMAN",0.000654494554286317,2.56366977006458e-05,0.0238775140226118,0.00664309318905215,4.97573675082323e-05
