"","Pearson_correlation"
"A1BG_HUMAN",0.173374623191809
"A1CF_HUMAN",0.285316993944927
"A2MG_HUMAN",-0.319586622296662
"A2ML1_HUMAN",-0.104879965155717
"A3LT2_HUMAN",0.14420945985502
"A4GAT_HUMAN",0.0935851113818486
"A4GCT_HUMAN",0.0118520206982365
"AAAS_HUMAN",0.113853567165641
"AACS_HUMAN",0.210543436307736
"AAAD_HUMAN",0.0431214610346083
"ADCL2_HUMAN",-0.0849843054614963
"ADCL3_HUMAN",0.116476635945299
"ADCL4_HUMAN",0.296326430885987
"AADAT_HUMAN",0.287889913588191
"AAGAB_HUMAN",0.198869980642905
"AAK1_HUMAN",0.017213642056136
"AAMDC_HUMAN",-0.0461429592740291
"AAMP_HUMAN",0.0897487616083708
"SNAT_HUMAN",0.169102037938326
"AAR2_HUMAN",-0.0928539893119055
"AARD_HUMAN",0.0842251450754297
"SYAC_HUMAN",-0.0526188244916982
"SYAM_HUMAN",0.222842954152002
"AASD1_HUMAN",-0.253414529077495
"ACSF4_HUMAN",-0.00215089519513373
"ADPPT_HUMAN",-0.182544897644481
"AASS_HUMAN",-0.241104264919481
"AATF_HUMAN",0.0923518888790757
"LMTK1_HUMAN",0.0191877056544066
"GABT_HUMAN",0.0563184401684708
"ABCA1_HUMAN",0.0549623338438352
"ABCAA_HUMAN",0.111608980638689
"ABCAC_HUMAN",0.0406614317794299
"ABCAD_HUMAN",0.162187410837603
"ABCA2_HUMAN",0.105872619925537
"ABCA3_HUMAN",-0.037457998967491
"ABCA4_HUMAN",0.107917177437201
"ABCA5_HUMAN",0.340441260756652
"ABCA6_HUMAN",0.168091337452118
"ABCA7_HUMAN",-0.201664261865713
"ABCA8_HUMAN",-0.00227853068479599
"ABCA9_HUMAN",0.125238167351957
"MDR1_HUMAN",-0.259233046522404
"ABCBA_HUMAN",-0.091981309343366
"ABCBB_HUMAN",0.0191462019727887
"MDR3_HUMAN",0.20943439234268
"ABCB5_HUMAN",0.36535129830027
"ABCB6_HUMAN",0.0049457181510089
"ABCB7_HUMAN",0.0223999036007239
"MITOS_HUMAN",0.222812371194174
"ABCB9_HUMAN",-0.228331950265619
"MRP1_HUMAN",0.0132442388174545
"MRP7_HUMAN",0.102386447813475
"MRP8_HUMAN",0.147952332924027
"MRP9_HUMAN",0.0454284361408637
"MRP2_HUMAN",-0.0842680897403027
"MRP3_HUMAN",0.188596851049698
"MRP4_HUMAN",-0.103033726538857
"MRP5_HUMAN",0.2686671391515
"MRP6_HUMAN",-0.202713988459402
"ABCC8_HUMAN",0.176248320491375
"ABCC9_HUMAN",0.147542429401172
"ABCD1_HUMAN",-0.013998768177138
"ABCD2_HUMAN",0.0608763294704191
"ABCD3_HUMAN",0.158593172540869
"ABCD4_HUMAN",0.0483309716666031
"ABCE1_HUMAN",-0.000399545825018735
"ABCF1_HUMAN",0.0162093855593691
"ABCF2_HUMAN",-0.0518466415481306
"ABCF3_HUMAN",-0.0476515171804341
"ABCG1_HUMAN",0.390596256254496
"ABCG2_HUMAN",-0.00283290254604192
"ABCG4_HUMAN",0.0579225117939622
"ABCG5_HUMAN",0.247104194061158
"ABCG8_HUMAN",0.000994880693388505
"ABHD1_HUMAN",-0.219736488147552
"ABHDA_HUMAN",0.167346741945609
"ABHDB_HUMAN",0.232228585905935
"ABD12_HUMAN",0.201680162842413
"AB12B_HUMAN",0.0989335513808975
"ABHDD_HUMAN",-0.139497437290011
"ABHEA_HUMAN",0.125344084959347
"ABHEB_HUMAN",-0.239538604831046
