"","Pearson_correlation"
"A1BG_HUMAN",-0.309244642350891
"A1CF_HUMAN",-0.292230920020625
"A2MG_HUMAN",-0.1907630536212
"A2ML1_HUMAN",-0.5531715109678
"A3LT2_HUMAN",-0.309217908448414
"A4GAT_HUMAN",-0.0702782914646586
"A4GCT_HUMAN",-0.328867221804429
"AAAS_HUMAN",-0.419676627452789
"AACS_HUMAN",-0.236862590170027
"AAAD_HUMAN",-0.149531307549914
"ADCL2_HUMAN",-0.594496516214016
"ADCL3_HUMAN",-0.295978400755369
"ADCL4_HUMAN",-0.37809359301874
"AADAT_HUMAN",-0.164947660129234
"AAGAB_HUMAN",0.293136096499795
"AAK1_HUMAN",-0.331758584789433
"AAMDC_HUMAN",-0.0470622026571283
"AAMP_HUMAN",0.811018329245027
"SNAT_HUMAN",-0.100629648581759
"AAR2_HUMAN",-0.0859215457653445
"AARD_HUMAN",-0.568091398082464
"SYAC_HUMAN",0.24040717478157
"SYAM_HUMAN",-0.51689326376276
"AASD1_HUMAN",0.25649899039481
"ACSF4_HUMAN",-0.0415015176771564
"ADPPT_HUMAN",-0.076082478272146
"AASS_HUMAN",0.0907779527467336
"AATF_HUMAN",-0.11722225825726
"LMTK1_HUMAN",-0.426820904462006
"GABT_HUMAN",-0.0829924927542741
"ABCA1_HUMAN",-0.402373144894676
"ABCAA_HUMAN",-0.298172470702458
"ABCAC_HUMAN",-0.363220931886842
"ABCAD_HUMAN",-0.307510052876295
"ABCA2_HUMAN",-0.486141077713699
"ABCA3_HUMAN",-0.337393612298679
"ABCA4_HUMAN",-0.713679464852229
"ABCA5_HUMAN",-0.178269308150942
"ABCA6_HUMAN",-0.299748901805473
"ABCA7_HUMAN",-0.423926433781996
"ABCA8_HUMAN",-0.19828469733489
"ABCA9_HUMAN",-0.21856791223479
"MDR1_HUMAN",-0.255771592104633
"ABCBA_HUMAN",0.0511362462027952
"ABCBB_HUMAN",-0.397242654639085
"MDR3_HUMAN",-0.475864485575064
"ABCB5_HUMAN",-0.199496768181537
"ABCB6_HUMAN",-0.274249263735377
"ABCB7_HUMAN",-0.141462779672387
"MITOS_HUMAN",-0.337101662166675
"ABCB9_HUMAN",-0.313599120570995
"MRP1_HUMAN",-0.321420767359855
"MRP7_HUMAN",-0.274497106588032
"MRP8_HUMAN",0.138321804985358
"MRP9_HUMAN",-0.263051251723868
"MRP2_HUMAN",-0.665653730721694
"MRP3_HUMAN",-0.770230296526819
"MRP4_HUMAN",0.175669172119535
"MRP5_HUMAN",0.0561826179901214
"MRP6_HUMAN",-0.321679092375065
"ABCC8_HUMAN",-0.478219706845045
"ABCC9_HUMAN",-0.0165346254550932
"ABCD1_HUMAN",-0.367837466466875
"ABCD2_HUMAN",-0.520530131126155
"ABCD3_HUMAN",0.196243821428234
"ABCD4_HUMAN",-0.492127888496763
"ABCE1_HUMAN",-0.0626505643192029
"ABCF1_HUMAN",-0.454709866225496
"ABCF2_HUMAN",-0.21367003938723
"ABCF3_HUMAN",-0.220440265283157
"ABCG1_HUMAN",-0.336929150337042
