"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"A1BG_HUMAN",0.00139662254849858,0.0030484028866936,0.0119819032702733,0.00553734890724663,0.00164426929291955
"A1CF_HUMAN",0.00132862094823193,0.00097282805793481,0.0240843731314027,0.00970431130270244,0.000271862587183157
"A2MG_HUMAN",0.00727802924976889,0.00622519670422601,0.0188780760951439,0.00925118375356885,0.00243545171332603
"A2ML1_HUMAN",0.000907507472101643,0.00195895841855334,5.05674225742066e-05,7.05627147786698e-05,0.000407922888928622
"A3LT2_HUMAN",0.000563715810273143,0.000492695967365343,0.00496190546234313,0.00125069914966692,0.00059073365305832
"A4GAT_HUMAN",0.00798830531481576,0.00249614045051856,0.000831974786559899,0.00484062940475315,0.00452888741966997
"A4GCT_HUMAN",0.00127588479189397,0.00293551250992557,0.00175496258921159,0.0302176659629917,0.00371067670360501
"AAAS_HUMAN",0.00144248079681805,0.00015950224525942,0.00265373105309784,0.000212866086860066,0.00446727242377358
"AACS_HUMAN",0.000648522184648633,0.0027280685992214,0.000642249396387464,0.00381424700285848,0.0028597297401225
"AAAD_HUMAN",0.00390192074480338,0.0121955529357155,0.00549671418902683,0.0113973410594715,0.00028941035317363
"ADCL2_HUMAN",0.00149693964781398,4.83632615626688e-05,0.00190035229210499,0.00592641904242987,0.0071131226708473
"ADCL3_HUMAN",0.00607907555565195,0.00229783331872051,0.00241829214005687,0.000329335455937711,0.0104090481001836
"ADCL4_HUMAN",0.00342754470880993,0.000721050856181878,0.0178252055118578,0.0173810892791468,0.00183105479495948
"AADAT_HUMAN",0.0101195433958946,0.00130509661550934,0.00887708712915324,0.000268189317016205,7.42499810225294e-06
"AAGAB_HUMAN",0.000127662094478207,0.010382595677077,0.000902909349140994,5.23418472989676e-07,0.00358309833434101
"AAK1_HUMAN",0.00862345551299786,0.0012422026183136,0.000252366271198231,0.000695330479508709,1.70017025418661e-05
"AAMDC_HUMAN",0.00132092026600089,2.57211053162887e-06,0.00354613563963581,0.00783872741455589,0.00071960612431374
"AAMP_HUMAN",0.00792490737359903,0.0403338887502934,0.00874423626088631,0.00169610703696566,0.000108872174762057
"SNAT_HUMAN",0.00186004248433208,1.67028798503982e-05,0.00327578739384347,0.00936708582874249,0.0100532507978683
"AAR2_HUMAN",0.000448304920589378,0.000277146236991263,0.00537436045892355,0.00195410109013982,0.0121055690035255
"AARD_HUMAN",0.00122375330043455,0.000140055158905746,2.80101013425925e-05,0.0144266028329505,0.00707401905212837
"SYAC_HUMAN",0.00111843065477107,0.010375757406678,0.00203418301385646,0.00623213158161203,0.0228360036688427
"SYAM_HUMAN",0.00319562406033481,0.00769681885446337,0.0128402763557036,0.00545093804816484,0.0116171808493282
"AASD1_HUMAN",5.8985368350963e-05,0.00484716395804266,0.00701137230582569,0.000217756591488656,0.00306757311965682
"ACSF4_HUMAN",0.00196501981133181,0.0223107294829689,0.000125186144128058,5.70940838527425e-08,0.0002906055732584
"ADPPT_HUMAN",0.00493796719073384,2.74017599540919e-05,0.00121801862466759,0.0111233185660544,0.00519153657734667
"AASS_HUMAN",0.00252674168817492,0.00160519963631328,0.0020562801337967,0.000578610976839913,0.0156132324882807
"AATF_HUMAN",0.0110820436507132,5.94317669927317e-05,1.99139424430884e-05,0.000673323580919275,0.00506697209986693
"LMTK1_HUMAN",0.000780656970813534,0.00496287994011759,0.0015815824139503,0.00771522668093481,8.3264828249537e-06
"GABT_HUMAN",0.00118831537474147,0.00256607082073561,0.00662234663274519,0.000485112133199832,0.0033204982222388
"ABCA1_HUMAN",8.97461311101375e-07,0.00874130206888028,0.00417672745624574,0.00488838124038273,0.0456198644329468
"ABCAA_HUMAN",0.00280164808089516,0.00114622017544796,0.000380972156233055,0.0196456903014522,0.016507015754401
"ABCAC_HUMAN",0.000540124489658526,6.71182867761077e-05,0.00907933725132731,1.4407200971633e-06,0.00384298856545815
"ABCAD_HUMAN",0.0121426486415359,0.000366748811862288,3.68134952339408e-05,0.000891568348384853,0.000814169961739615
"ABCA2_HUMAN",0.00067721375466746,0.00292823246545905,0.00115217312848816,0.00599951562806624,0.0084684877560748
"ABCA3_HUMAN",0.0132837414779325,4.22707535919542e-05,0.00026200332914131,0.0208555069644687,0.000119187469181335
"ABCA4_HUMAN",0.00189739278994207,0.00149233806827541,8.67061521098688e-05,0.00429268002846538,0.0238776958736052
"ABCA5_HUMAN",0.00474337538726065,0.00109526364460185,0.0103229348022576,0.00113776654798219,0.000713029107641419
"ABCA6_HUMAN",0.00814683020374263,9.14105469544873e-05,0.0196586804715549,0.00015170775143201,0.00982728917019037
"ABCA7_HUMAN",0.00125450112372968,0.00943824913286928,0.00985703819080076,0.000745664077002855,0.000820526391908126
"ABCA8_HUMAN",0.00404174245320519,0.000159501359703919,0.00955717882430437,0.00593459711485937,0.00108996282355625
"ABCA9_HUMAN",0.0070716540180891,0.012278513516933,0.00283575178676234,0.00310372148912649,0.00299478215214138
"MDR1_HUMAN",0.000402306534417188,0.00780408305939532,0.00612577807329301,0.00463419178741579,0.00365085996344501
"ABCBA_HUMAN",0.00307157056746661,0.00189806809936424,0.00729641831287773,0.00204859597250334,0.00101187498392681
"ABCBB_HUMAN",0.00220416159751323,0.00309478117951442,0.00800579579652946,0.00267006705531351,8.35895929690472e-05
"MDR3_HUMAN",0.000397575332349974,0.00184690602768421,0.0017381789328341,1.41192536985189e-07,0.000399643539836392
"ABCB5_HUMAN",0.00616772027298066,0.0113679890496922,0.00819709788276355,0.00319532103449597,0.00516332697107878
"ABCB6_HUMAN",0.000879852486979283,0.00173651528751409,0.00658252024284839,0.0187757270909715,0.0173895599298913
"ABCB7_HUMAN",8.907090056435e-05,0.00240597453357003,2.7500542379858e-05,0.0367410526077077,0.00722397336422374
"MITOS_HUMAN",0.000216615041492772,0.00191009838048689,0.000336037749469327,0.00301762805469823,0.00403601300406573
"ABCB9_HUMAN",0.0103770837480044,0.0120524467799415,0.00847233639399711,0.00871037395196195,0.00889565263976897
"MRP1_HUMAN",0.0357868554792335,0.0117187315200798,0.00182612605784198,0.00114516218962684,0.000766967247493488
"MRP7_HUMAN",0.000373221796022049,0.000816146285209147,0.00126612613953733,0.0118234334169758,0.00459800396237555
"MRP8_HUMAN",0.0120850831262869,3.66078153895133e-05,0.00807549112280436,2.79178137356719e-05,0.0101626507254949
"MRP9_HUMAN",0.010308274522938,0.0057564612352317,0.00212470821723405,0.00134240645153726,0.00461700532119175
"MRP2_HUMAN",0.00874590236121481,0.0046347830096653,0.000486186409612923,0.000477559540496439,0.00400959008626736
"MRP3_HUMAN",4.39527475945425e-05,0.0100691493180611,0.00522499866203131,0.00187082261451777,9.05643694013549e-06
"MRP4_HUMAN",0.000900023804227204,5.18305685871885e-05,0.00641352165257509,0.00963915022334125,0.0046924321793588
"MRP5_HUMAN",0.000134096781008932,0.000354105611714517,0.0107198102758193,0.000554243899769285,0.00264341650472987
"MRP6_HUMAN",0.00128261476984985,0.00108988442962567,0.00907668370701551,0.00278174421792418,0.0270478671631907
"ABCC8_HUMAN",0.00341071057171244,0.000411126491184,0.00254225468123536,0.00760690773152679,2.09546136780014e-06
"ABCC9_HUMAN",0.0126457338143326,0.00484720221816294,0.0109550607162293,0.000590189230940181,0.0136690968678759
"ABCD1_HUMAN",0.0134769984094742,0.00105554333446313,0.00390754669456051,0.00949447204544263,0.000818081771810078
"ABCD2_HUMAN",0.0168921679837487,0.000241872202606613,0.000426729025093671,0.000456510363827468,0.012380716028908
"ABCD3_HUMAN",0.0227102427260906,9.21526096379707e-05,4.9783449626305e-06,0.00348364799352744,8.56049259434453e-05
"ABCD4_HUMAN",0.0123221166877803,0.00893480860633854,0.00182365065192313,0.00325357070644313,9.23878024999249e-05
"ABCE1_HUMAN",3.381384985777e-05,0.00822175297294907,0.0100679771162504,0.00109960270831674,0.00648532042169307
"ABCF1_HUMAN",0.0137271063286144,8.85522405441111e-06,0.000743689212613465,0.0101677844548373,0.0383449834138105
"ABCF2_HUMAN",0.0170807732563538,0.00154235681107952,0.00327246614618582,0.0166864719419637,0.0014198716488522
"ABCF3_HUMAN",0.000232062421232418,0.00304173168875484,0.00333282880807003,0.00139084624221897,0.00645149160274152
"ABCG1_HUMAN",0.00154203611343374,0.000196661559870736,0.0249933655231249,0.00696954124084264,0.000551172429849313
"ABCG2_HUMAN",0.0011923796852216,0.00319610535121371,0.00687325507841335,0.00263732839635904,0.00833882935337128
"ABCG4_HUMAN",0.007184130915137,9.44361665366516e-05,0.000486599600965404,0.00255701048252868,0.0100664094264216
"ABCG5_HUMAN",0.00600193442334856,0.00181324886038111,0.0130427495401281,0.00591337754604569,0.00024148136543122
"ABCG8_HUMAN",0.00719418229808278,0.00046553115416239,0.00480526382360188,0.00333471459819425,0.000500067816997851
"ABHD1_HUMAN",0.00288354895834748,0.00134316924831394,0.00199092835107295,0.00806607818954727,0.000531117253598203
"ABHDA_HUMAN",0.0190289770325561,0.00978424450744377,0.000582988236987045,0.0034373571603635,0.00501793352108349
"ABHDB_HUMAN",0.00195250328775838,0.000818886510424326,0.000754305845631266,0.0172059298539051,0.00664875092042147
"ABD12_HUMAN",0.00749268770114802,0.000610778221985562,0.0010855129406081,0.0173044865729532,2.53072924648564e-06
"AB12B_HUMAN",0.0158488189454214,0.000222211028931575,0.000246949093005146,0.00714014382857505,1.66188662531912e-05
"ABHDD_HUMAN",0.0024456278203404,0.00587510430492862,0.0131504361061604,0.0155513192074351,0.00058648055174417
"ABHEA_HUMAN",0.000177697606542291,0.00031366792923634,0.000676790294097475,0.00388400913754719,0.010142387750197
"ABHEB_HUMAN",0.000324759162653607,0.00115881808608724,0.00194319177877942,0.0338464325201938,0.0284214933133102
"ABH15_HUMAN",0.000194292856446897,0.00117782141747115,0.00598089644309003,0.00764500958292139,0.0038789069920129
"ABHGA_HUMAN",0.0207372164613463,0.0140349203344676,0.00304571478823807,0.00704596745602211,4.75040434061513e-05
"ABHGB_HUMAN",0.0117380183380024,0.00359911915799499,0.000405676967300248,0.0183899270994966,0.0015672087312464
