"","Dim.1","Dim.2"
"AGRG2_HUMAN",0.000280189766102787,0.0133354524778583
"AGRG3_HUMAN",0.00512811659846804,0.00598570794372009
"AGRG4_HUMAN",0.00332894375480404,0.00871336065609376
"AGRG5_HUMAN",0.00853694270387009,0.000817725442675927
"AGRG6_HUMAN",0.00907624108211117,1.17123737471583e-07
"AGRG7_HUMAN",0.00730758370268697,0.00268150658291866
"AGRL1_HUMAN",0.00801168881207276,0.00161404148740233
"AGRL2_HUMAN",0.00022469107000811,0.0134195917919153
"AGRL3_HUMAN",0.00846546651377844,0.000926087585012811
"AGRL4_HUMAN",0.00883292885736132,0.000368992883578884
"AGRV1_HUMAN",0.0023326314745237,0.0102238291490171
"ADH1A_HUMAN",0.00811645235098169,0.00145521375049583
"ADH4_HUMAN",0.000511731769029501,0.0129844210722124
"ADHX_HUMAN",2.57982110401872e-06,0.0137563256152695
"ADH6_HUMAN",0.00049158919577635,0.0130149584076117
"ADH7_HUMAN",0.00903651004596533,6.03517303736685e-05
"HOT_HUMAN",0.00249524892655182,0.00997729144939257
"MTND_HUMAN",0.0087494590791009,0.000495538016735528
"ADIG_HUMAN",0.00557039882037124,0.00531518187033198
"ADIPO_HUMAN",0.00814195399395738,0.00141655174763303
"PAQR1_HUMAN",0.00143537347688444,0.0115841254760643
"PAQR2_HUMAN",0.00734554557561846,0.00262395413261754
"ADIRF_HUMAN",0.00907384901023266,3.74364654244137e-06
"ADK_HUMAN",0.000979778344634059,0.0122748347109238
"ADML_HUMAN",0.0049057933186657,0.00632276321848844
"ADM2_HUMAN",0.0075739243877853,0.00227771831172378
"ADM5_HUMAN",0.00907448983561037,2.77211727229084e-06
"ADNP_HUMAN",0.00542731765856971,0.00553210139557471
"ADNP2_HUMAN",0.0081677210955576,0.00137748729375504
"AEDO_HUMAN",0.0079364830350218,0.00172805790471423
"AA1R_HUMAN",0.0056960709007997,0.00512465554471658
"AA2AR_HUMAN",0.000710118629145627,0.0126836548289908
"AA2BR_HUMAN",0.000372561744262387,0.0131954110818015
"AA3R_HUMAN",0.00391828549753844,0.0078198836292781
"ADPGK_HUMAN",0.00613208026989797,0.00446363948812738
"ADPRH_HUMAN",0.000118890045367638,0.0135799924187082
"ARHL1_HUMAN",0.00479251454711711,0.00649450055298451
"ADPRS_HUMAN",0.000691847715900508,0.0127113546168385
"ADPRM_HUMAN",0.00468959345523752,0.00665053503094739
"ADA1A_HUMAN",0.00665024734411187,0.00367806747906801
"ADA1B_HUMAN",0.00895448045844756,0.000184713448968803
"B0ZBE0_HUMAN",0.00458794759385029,0.00680463618386913
"ADA2A_HUMAN",0.00890734790536768,0.000256169194147578
"ADA2B_HUMAN",0.00704451987049173,0.00308032695081266
"ADA2C_HUMAN",0.000450882877234598,0.013076671600189
"ADRB1_HUMAN",0.00899128102287757,0.000128921611215201
"ADRB2_HUMAN",0.00381887796718909,0.00797059133962546
"ADRB3_HUMAN",0.00901706239356585,8.98355245535945e-05
"ADRM1_HUMAN",0.00626214341660667,0.00426645604566426
"PUR8_HUMAN",0.00694808246890619,0.00322653176984112
"PURA1_HUMAN",0.00634922684349165,0.0041344324069225
"PURA2_HUMAN",0.00619861567939209,0.00436276786213828
"ADTRP_HUMAN",0.00853850431424965,0.000815357948745409
"AEBP1_HUMAN",0.00830573356600109,0.00116825220515737
"AEBP2_HUMAN",0.00903199384445815,6.71985596452775e-05
"AEN_HUMAN",0.00680087162692889,0.00344971213509854
"AFAP1_HUMAN",0.00899118243249626,0.000129071080079113
"AF1L1_HUMAN",0.000430376317346228,0.0131077607609098
"AF1L2_HUMAN",0.00904855387706167,4.20925682965142e-05
"AFAD_HUMAN",0.00862829520738162,0.000679229630634939
"AFF1_HUMAN",0.00848098059186174,0.000902567322736117
"AFF2_HUMAN",0.00105925217662862,0.0121543476692446
"AFF3_HUMAN",0.00904912326563563,4.1229341456654e-05
"AFF4_HUMAN",0.00656041930560656,0.0038142521117669
"AFG1L_HUMAN",0.00757255371021944,0.00227979634018764
"AFG32_HUMAN",0.00544131738718475,0.00551087697688487
"AFAM_HUMAN",0.00907529606341662,1.54982811298081e-06
"KFA_HUMAN",0.00611640305172453,0.00448740708045395
"FETA_HUMAN",0.00856397114588832,0.000776748721933536
"AFTIN_HUMAN",0.00344051418619731,0.00854421326656831
"ASPG_HUMAN",0.00823798311825928,0.00127096590117511
"AGAP1_HUMAN",0.000438401746221473,0.0130955937348697
"AGAP2_HUMAN",0.00586454575347987,0.00486923767839089
"AGAP3_HUMAN",0.00907427037770655,3.10482846717037e-06
"AGAP9_HUMAN",0.00903582767351331,6.13862474719928e-05
"CBPC4_HUMAN",0.00137296128388308,0.0116787460613654
"CBPC2_HUMAN",0.00907433241774898,3.01077208419953e-06
"CBPC3_HUMAN",0.00903870153420369,5.70293042607057e-05
"CBPC6_HUMAN",0.00843619809061311,0.000970460249993157
"CBPC5_HUMAN",0.00599544454774977,0.00467078734467537
"RAGE_HUMAN",0.00131977586319562,0.0117593783127401
"AGFG1_HUMAN",0.00214742862292916,0.0105046076535781
"AGFG2_HUMAN",0.00387080212936686,0.00789187123093719
"AGGF1_HUMAN",0.00701165950995174,0.00313014520583587
"GDE_HUMAN",0.00712622922617703,0.00295645072266347
"SPEB_HUMAN",0.00574839676952722,0.00504532642508
"ALKMO_HUMAN",0.00708873633236709,0.00301329217280864
"AGO1_HUMAN",0.00742844064925537,0.00249828028574707
"AGO2_HUMAN",0.00336007848137048,0.00866615856449521
"AGO3_HUMAN",0.00054685198091144,0.0129311767485577
"AGO4_HUMAN",0.00249702427033783,0.00997459992294455
"PLCA_HUMAN",0.000490653419990365,0.0130163770991897
"PLCB_HUMAN",0.00562251392300307,0.0052361722845936
"PLCC_HUMAN",0.000888288754842844,0.0124135383538933
"PLCD_HUMAN",0.000370422468959609,0.0131986543500081
"PLCE_HUMAN",8.99382823669016e-06,0.0137466016001399
"ADAS_HUMAN",4.67889971551028e-06,0.0137531432876303
"AGR2_HUMAN",0.00130811399176399,0.0117770584013175
"AGR3_HUMAN",0.00552260600554887,0.00538763861146239
"AGRIN_HUMAN",0.00905958961487775,2.53617354067689e-05
"AGRP_HUMAN",0.00850053744930741,0.000872917967230879
"ANGT_HUMAN",0.00906001097852391,2.472292313456e-05
"CBPC1_HUMAN",0.00753436227355054,0.00233769682272674
"AGTR1_HUMAN",0.00742214570640872,0.00250782379235909
"AGTR2_HUMAN",0.00818483526891152,0.00135154119217096
"ATRAP_HUMAN",0.008423329016896,0.000989970528815999
"SPYA_HUMAN",0.00626617453249217,0.00426034463495813
"AGT2_HUMAN",0.00613188974888149,0.00446392832928525
"ELYS_HUMAN",0.00442568486594172,0.00705063610069513
"SAHH_HUMAN",0.00880248028110577,0.000415154730620915
"SAHH2_HUMAN",0.000984715387907078,0.0122673498605815
"SAHH3_HUMAN",0.00877658399085124,0.000454415042159031
"AHDC1_HUMAN",0.000260594036035019,0.0133651607665636
"AHI1_HUMAN",0.00907433241774898,3.01077208419953e-06
"AHNK_HUMAN",0.00107558056736915,0.0121295928606951
"AHNK2_HUMAN",0.000865921849213709,0.0124474479090656
"AHR_HUMAN",0.00897339432801673,0.000156038901210047
"AHRR_HUMAN",0.00476958601386142,0.00652926156894019
"AHSA1_HUMAN",0.00477657192578853,0.00651867051223145
"FETUA_HUMAN",0.00778702811222572,0.00195464042955498
"AHSP_HUMAN",0.00880865985356146,0.000405786132362249
"AICDA_HUMAN",0.00389550148059121,0.00785442554994091
"AIDA_HUMAN",8.94372067979836e-05,0.0136246446683765
"AIF1_HUMAN",0.00871601688088334,0.000546238372177731
"AIF1L_HUMAN",0.00904670550738573,4.48948063237111e-05
"AIFM1_HUMAN",0.00362621073238009,0.00826268629173786
"AIFM2",0.00848031829101691,0.000903571410087816
"AIFM3_HUMAN",0.00225751495005837,0.0103377102541167
